factor,level,count
context_a_environment_rate,0.389,14
context_a_environment_rate,0.426,14
context_a_environment_rate,0.463,14
context_a_environment_rate,0.5,14
context_a_environment_rate,0.537,14
context_a_environment_rate,0.574,14
context_a_environment_rate,0.611,14
context_a_environment_rate,0.648,14
context_a_environment_rate,0.685,14
context_a_environment_rate,0.722,14
context_a_environment_rate,0.759,14
context_a_environment_rate,0.796,14
context_a_environment_rate,0.833,14
context_a_environment_rate,0.87,12
context_a_environment_rate,0.106,12
context_a_environment_rate,0.143,12
context_a_environment_rate,0.18,12
context_a_environment_rate,0.217,12
context_a_environment_rate,0.254,12
context_a_environment_rate,0.291,12
context_a_environment_rate,0.328,12
context_a_environment_rate,0.365,12
context_a_environment_rate,0.402,12
context_a_environment_rate,0.439,12
context_a_environment_rate,0.476,12
context_a_environment_rate,0.513,12
context_a_environment_rate,0.55,12
context_a_environment_rate,0.587,12
context_a_environment_rate,0.624,12
context_a_environment_rate,0.661,12
context_a_environment_rate,0.698,12
context_a_environment_rate,0.735,12
context_a_environment_rate,0.772,12
context_a_environment_rate,0.809,12
context_a_environment_rate,0.846,12
context_a_environment_rate,0.883,12
context_a_environment_rate,0.119,12
context_a_environment_rate,0.156,12
context_a_environment_rate,0.193,12
context_a_environment_rate,0.23,12
context_a_environment_rate,0.267,12
context_a_environment_rate,0.304,12
context_a_environment_rate,0.341,12
context_a_environment_rate,0.378,12
context_a_environment_rate,0.415,12
context_a_environment_rate,0.452,12
context_a_environment_rate,0.489,12
context_a_environment_rate,0.526,12
context_a_environment_rate,0.563,12
context_a_environment_rate,0.6,12
context_a_environment_rate,0.637,12
context_a_environment_rate,0.674,12
context_a_environment_rate,0.711,12
context_a_environment_rate,0.748,12
context_a_environment_rate,0.785,12
context_a_environment_rate,0.822,12
context_a_environment_rate,0.859,12
context_a_environment_rate,0.896,12
context_a_environment_rate,0.132,12
context_a_environment_rate,0.169,12
context_a_environment_rate,0.206,12
context_a_environment_rate,0.243,12
context_a_environment_rate,0.28,12
context_a_environment_rate,0.317,12
context_a_environment_rate,0.354,12
context_a_environment_rate,0.391,12
context_a_environment_rate,0.428,12
context_a_environment_rate,0.465,12
context_a_environment_rate,0.502,12
context_a_environment_rate,0.539,12
context_a_environment_rate,0.576,12
context_a_environment_rate,0.613,12
context_a_environment_rate,0.65,12
context_a_environment_rate,0.687,12
context_a_environment_rate,0.724,12
context_a_environment_rate,0.761,12
context_a_environment_rate,0.798,12
context_a_environment_rate,0.835,12
context_a_environment_rate,0.872,12
context_a_environment_rate,0.108,12
context_a_environment_rate,0.145,12
context_a_environment_rate,0.182,12
context_a_environment_rate,0.219,12
context_a_environment_rate,0.256,12
context_a_environment_rate,0.293,12
context_a_environment_rate,0.33,12
context_a_environment_rate,0.367,12
context_a_environment_rate,0.404,12
context_a_environment_rate,0.441,12
context_a_environment_rate,0.478,12
context_a_environment_rate,0.515,12
context_a_environment_rate,0.552,12
context_a_environment_rate,0.589,12
context_a_environment_rate,0.626,12
context_a_environment_rate,0.663,12
context_a_environment_rate,0.7,12
context_a_environment_rate,0.737,12
context_a_environment_rate,0.774,12
context_a_environment_rate,0.811,12
context_a_environment_rate,0.848,12
context_a_environment_rate,0.885,12
context_a_environment_rate,0.121,12
context_a_environment_rate,0.158,12
context_a_environment_rate,0.195,12
context_a_environment_rate,0.232,12
context_a_environment_rate,0.269,12
context_a_environment_rate,0.306,12
context_a_environment_rate,0.343,12
context_a_environment_rate,0.38,12
context_a_environment_rate,0.417,12
context_a_environment_rate,0.454,12
context_a_environment_rate,0.491,12
context_a_environment_rate,0.528,12
context_a_environment_rate,0.565,12
context_a_environment_rate,0.602,12
context_a_environment_rate,0.639,12
context_a_environment_rate,0.676,12
context_a_environment_rate,0.713,12
context_a_environment_rate,0.75,12
context_a_environment_rate,0.787,12
context_a_environment_rate,0.824,12
context_a_environment_rate,0.861,12
context_a_environment_rate,0.898,12
context_a_environment_rate,0.134,12
context_a_environment_rate,0.171,12
context_a_environment_rate,0.208,12
context_a_environment_rate,0.245,12
context_a_environment_rate,0.282,12
context_a_environment_rate,0.319,12
context_a_environment_rate,0.356,12
context_a_environment_rate,0.393,12
context_a_environment_rate,0.43,12
context_a_environment_rate,0.467,12
context_a_environment_rate,0.504,12
context_a_environment_rate,0.541,12
context_a_environment_rate,0.578,12
context_a_environment_rate,0.615,12
context_a_environment_rate,0.652,12
context_a_environment_rate,0.689,12
context_a_environment_rate,0.726,12
context_a_environment_rate,0.763,12
context_a_environment_rate,0.8,12
context_a_environment_rate,0.837,12
context_a_environment_rate,0.874,12
context_a_environment_rate,0.11,12
context_a_environment_rate,0.147,12
context_a_environment_rate,0.184,12
context_a_environment_rate,0.221,12
context_a_environment_rate,0.258,12
context_a_environment_rate,0.295,12
context_a_environment_rate,0.332,12
context_a_environment_rate,0.369,12
context_a_environment_rate,0.406,12
context_a_environment_rate,0.443,12
context_a_environment_rate,0.48,12
context_a_environment_rate,0.517,12
context_a_environment_rate,0.554,12
context_a_environment_rate,0.591,12
context_a_environment_rate,0.628,12
context_a_environment_rate,0.665,12
context_a_environment_rate,0.702,12
context_a_environment_rate,0.739,12
context_a_environment_rate,0.776,12
context_a_environment_rate,0.813,12
context_a_environment_rate,0.85,12
context_a_environment_rate,0.887,12
context_a_environment_rate,0.123,12
context_a_environment_rate,0.16,12
context_a_environment_rate,0.197,12
context_a_environment_rate,0.234,12
context_a_environment_rate,0.271,12
context_a_environment_rate,0.308,12
context_a_environment_rate,0.345,12
context_a_environment_rate,0.382,12
context_a_environment_rate,0.419,12
context_a_environment_rate,0.456,12
context_a_environment_rate,0.493,12
context_a_environment_rate,0.53,12
context_a_environment_rate,0.567,12
context_a_environment_rate,0.604,12
context_a_environment_rate,0.641,12
context_a_environment_rate,0.678,12
context_a_environment_rate,0.715,12
context_a_environment_rate,0.752,12
context_a_environment_rate,0.789,12
context_a_environment_rate,0.826,12
context_a_environment_rate,0.863,12
context_a_environment_rate,0.9,12
context_a_environment_rate,0.136,12
context_a_environment_rate,0.173,12
context_a_environment_rate,0.21,12
context_a_environment_rate,0.247,12
context_a_environment_rate,0.284,12
context_a_environment_rate,0.321,12
context_a_environment_rate,0.358,12
context_a_environment_rate,0.395,12
context_a_environment_rate,0.432,12
context_a_environment_rate,0.469,12
context_a_environment_rate,0.506,12
context_a_environment_rate,0.543,12
context_a_environment_rate,0.58,12
context_a_environment_rate,0.617,12
context_a_environment_rate,0.654,12
context_a_environment_rate,0.691,12
context_a_environment_rate,0.728,12
context_a_environment_rate,0.765,12
context_a_environment_rate,0.802,12
context_a_environment_rate,0.839,12
context_a_environment_rate,0.876,12
context_a_environment_rate,0.112,12
context_a_environment_rate,0.149,12
context_a_environment_rate,0.186,12
context_a_environment_rate,0.223,12
context_a_environment_rate,0.26,12
context_a_environment_rate,0.297,12
context_a_environment_rate,0.334,12
context_a_environment_rate,0.371,12
context_a_environment_rate,0.408,12
context_a_environment_rate,0.445,12
context_a_environment_rate,0.482,12
context_a_environment_rate,0.519,12
context_a_environment_rate,0.556,12
context_a_environment_rate,0.593,12
context_a_environment_rate,0.63,12
context_a_environment_rate,0.667,12
context_a_environment_rate,0.704,12
context_a_environment_rate,0.741,12
context_a_environment_rate,0.778,12
context_a_environment_rate,0.815,12
context_a_environment_rate,0.852,12
context_a_environment_rate,0.889,12
context_a_environment_rate,0.125,12
context_a_environment_rate,0.162,12
context_a_environment_rate,0.199,12
context_a_environment_rate,0.236,12
context_a_environment_rate,0.273,12
context_a_environment_rate,0.31,12
context_a_environment_rate,0.347,12
context_a_environment_rate,0.384,12
context_a_environment_rate,0.421,12
context_a_environment_rate,0.458,12
context_a_environment_rate,0.495,12
context_a_environment_rate,0.532,12
context_a_environment_rate,0.569,12
context_a_environment_rate,0.606,12
context_a_environment_rate,0.643,12
context_a_environment_rate,0.68,12
context_a_environment_rate,0.717,12
context_a_environment_rate,0.754,12
context_a_environment_rate,0.791,12
context_a_environment_rate,0.828,12
context_a_environment_rate,0.865,12
context_a_environment_rate,0.101,12
context_a_environment_rate,0.138,12
context_a_environment_rate,0.175,12
context_a_environment_rate,0.212,12
context_a_environment_rate,0.249,12
context_a_environment_rate,0.286,12
context_a_environment_rate,0.323,12
context_a_environment_rate,0.36,12
context_a_environment_rate,0.397,12
context_a_environment_rate,0.434,12
context_a_environment_rate,0.471,12
context_a_environment_rate,0.508,12
context_a_environment_rate,0.545,12
context_a_environment_rate,0.582,12
context_a_environment_rate,0.619,12
context_a_environment_rate,0.656,12
context_a_environment_rate,0.693,12
context_a_environment_rate,0.73,12
context_a_environment_rate,0.767,12
context_a_environment_rate,0.804,12
context_a_environment_rate,0.841,12
context_a_environment_rate,0.878,12
context_a_environment_rate,0.114,12
context_a_environment_rate,0.151,12
context_a_environment_rate,0.188,12
context_a_environment_rate,0.225,12
context_a_environment_rate,0.262,12
context_a_environment_rate,0.299,12
context_a_environment_rate,0.336,12
context_a_environment_rate,0.373,12
context_a_environment_rate,0.41,12
context_a_environment_rate,0.447,12
context_a_environment_rate,0.484,12
context_a_environment_rate,0.521,12
context_a_environment_rate,0.558,12
context_a_environment_rate,0.595,12
context_a_environment_rate,0.632,12
context_a_environment_rate,0.669,12
context_a_environment_rate,0.706,12
context_a_environment_rate,0.743,12
context_a_environment_rate,0.78,12
context_a_environment_rate,0.817,12
context_a_environment_rate,0.854,12
context_a_environment_rate,0.891,12
context_a_environment_rate,0.127,12
context_a_environment_rate,0.164,12
context_a_environment_rate,0.201,12
context_a_environment_rate,0.238,12
context_a_environment_rate,0.275,12
context_a_environment_rate,0.312,12
context_a_environment_rate,0.349,12
context_a_environment_rate,0.386,12
context_a_environment_rate,0.423,12
context_a_environment_rate,0.46,12
context_a_environment_rate,0.497,12
context_a_environment_rate,0.534,12
context_a_environment_rate,0.571,12
context_a_environment_rate,0.608,12
context_a_environment_rate,0.645,12
context_a_environment_rate,0.682,12
context_a_environment_rate,0.719,12
context_a_environment_rate,0.756,12
context_a_environment_rate,0.793,12
context_a_environment_rate,0.83,12
context_a_environment_rate,0.867,12
context_a_environment_rate,0.103,12
context_a_environment_rate,0.14,12
context_a_environment_rate,0.177,12
context_a_environment_rate,0.214,12
context_a_environment_rate,0.251,12
context_a_environment_rate,0.288,12
context_a_environment_rate,0.325,12
context_a_environment_rate,0.362,12
context_a_environment_rate,0.399,12
context_a_environment_rate,0.436,12
context_a_environment_rate,0.473,12
context_a_environment_rate,0.51,12
context_a_environment_rate,0.547,12
context_a_environment_rate,0.584,12
context_a_environment_rate,0.621,12
context_a_environment_rate,0.658,12
context_a_environment_rate,0.695,12
context_a_environment_rate,0.732,12
context_a_environment_rate,0.769,12
context_a_environment_rate,0.806,12
context_a_environment_rate,0.843,12
context_a_environment_rate,0.88,12
context_a_environment_rate,0.116,12
context_a_environment_rate,0.153,12
context_a_environment_rate,0.19,12
context_a_environment_rate,0.227,12
context_a_environment_rate,0.264,12
context_a_environment_rate,0.301,12
context_a_environment_rate,0.338,12
context_a_environment_rate,0.375,12
context_a_environment_rate,0.412,12
context_a_environment_rate,0.449,12
context_a_environment_rate,0.486,12
context_a_environment_rate,0.523,12
context_a_environment_rate,0.56,12
context_a_environment_rate,0.597,12
context_a_environment_rate,0.634,12
context_a_environment_rate,0.671,12
context_a_environment_rate,0.708,12
context_a_environment_rate,0.745,12
context_a_environment_rate,0.782,12
context_a_environment_rate,0.819,12
context_a_environment_rate,0.856,12
context_a_environment_rate,0.893,12
context_a_environment_rate,0.129,12
context_a_environment_rate,0.166,12
context_a_environment_rate,0.203,12
context_a_environment_rate,0.24,12
context_a_environment_rate,0.277,12
context_a_environment_rate,0.314,12
context_a_environment_rate,0.351,12
context_a_environment_rate,0.388,12
context_a_environment_rate,0.425,12
context_a_environment_rate,0.462,12
context_a_environment_rate,0.499,12
context_a_environment_rate,0.536,12
context_a_environment_rate,0.573,12
context_a_environment_rate,0.61,12
context_a_environment_rate,0.647,12
context_a_environment_rate,0.684,12
context_a_environment_rate,0.721,12
context_a_environment_rate,0.758,12
context_a_environment_rate,0.795,12
context_a_environment_rate,0.832,12
context_a_environment_rate,0.869,12
context_a_environment_rate,0.105,12
context_a_environment_rate,0.142,12
context_a_environment_rate,0.179,12
context_a_environment_rate,0.216,12
context_a_environment_rate,0.253,12
context_a_environment_rate,0.29,12
context_a_environment_rate,0.327,12
context_a_environment_rate,0.364,12
context_a_environment_rate,0.401,12
context_a_environment_rate,0.438,12
context_a_environment_rate,0.475,12
context_a_environment_rate,0.512,12
context_a_environment_rate,0.549,12
context_a_environment_rate,0.586,12
context_a_environment_rate,0.623,12
context_a_environment_rate,0.66,12
context_a_environment_rate,0.697,12
context_a_environment_rate,0.734,12
context_a_environment_rate,0.771,12
context_a_environment_rate,0.808,12
context_a_environment_rate,0.845,12
context_a_environment_rate,0.882,12
context_a_environment_rate,0.118,12
context_a_environment_rate,0.155,12
context_a_environment_rate,0.192,12
context_a_environment_rate,0.229,12
context_a_environment_rate,0.266,12
context_a_environment_rate,0.303,12
context_a_environment_rate,0.34,12
context_a_environment_rate,0.377,12
context_a_environment_rate,0.414,12
context_a_environment_rate,0.451,12
context_a_environment_rate,0.488,12
context_a_environment_rate,0.525,12
context_a_environment_rate,0.562,12
context_a_environment_rate,0.599,12
context_a_environment_rate,0.636,12
context_a_environment_rate,0.673,12
context_a_environment_rate,0.71,12
context_a_environment_rate,0.747,12
context_a_environment_rate,0.784,12
context_a_environment_rate,0.821,12
context_a_environment_rate,0.858,12
context_a_environment_rate,0.895,12
context_a_environment_rate,0.131,12
context_a_environment_rate,0.168,12
context_a_environment_rate,0.205,12
context_a_environment_rate,0.242,12
context_a_environment_rate,0.279,12
context_a_environment_rate,0.316,12
context_a_environment_rate,0.353,12
context_a_environment_rate,0.39,12
context_a_environment_rate,0.427,12
context_a_environment_rate,0.464,12
context_a_environment_rate,0.501,12
context_a_environment_rate,0.538,12
context_a_environment_rate,0.575,12
context_a_environment_rate,0.612,12
context_a_environment_rate,0.649,12
context_a_environment_rate,0.686,12
context_a_environment_rate,0.723,12
context_a_environment_rate,0.76,12
context_a_environment_rate,0.797,12
context_a_environment_rate,0.834,12
context_a_environment_rate,0.871,12
context_a_environment_rate,0.107,12
context_a_environment_rate,0.144,12
context_a_environment_rate,0.181,12
context_a_environment_rate,0.218,12
context_a_environment_rate,0.255,12
context_a_environment_rate,0.292,12
context_a_environment_rate,0.329,12
context_a_environment_rate,0.366,12
context_a_environment_rate,0.403,12
context_a_environment_rate,0.44,12
context_a_environment_rate,0.477,12
context_a_environment_rate,0.514,12
context_a_environment_rate,0.551,12
context_a_environment_rate,0.588,12
context_a_environment_rate,0.625,12
context_a_environment_rate,0.662,12
context_a_environment_rate,0.699,12
context_a_environment_rate,0.736,12
context_a_environment_rate,0.773,12
context_a_environment_rate,0.81,12
context_a_environment_rate,0.847,12
context_a_environment_rate,0.884,12
context_a_environment_rate,0.12,12
context_a_environment_rate,0.157,12
context_a_environment_rate,0.194,12
context_a_environment_rate,0.231,12
context_a_environment_rate,0.268,12
context_a_environment_rate,0.305,12
context_a_environment_rate,0.342,12
context_a_environment_rate,0.379,12
context_a_environment_rate,0.416,12
context_a_environment_rate,0.453,12
context_a_environment_rate,0.49,12
context_a_environment_rate,0.527,12
context_a_environment_rate,0.564,12
context_a_environment_rate,0.601,12
context_a_environment_rate,0.638,12
context_a_environment_rate,0.675,12
context_a_environment_rate,0.712,12
context_a_environment_rate,0.749,12
context_a_environment_rate,0.786,12
context_a_environment_rate,0.823,12
context_a_environment_rate,0.86,12
context_a_environment_rate,0.897,12
context_a_environment_rate,0.133,12
context_a_environment_rate,0.17,12
context_a_environment_rate,0.207,12
context_a_environment_rate,0.244,12
context_a_environment_rate,0.281,12
context_a_environment_rate,0.318,12
context_a_environment_rate,0.355,12
context_a_environment_rate,0.392,12
context_a_environment_rate,0.429,12
context_a_environment_rate,0.466,12
context_a_environment_rate,0.503,12
context_a_environment_rate,0.54,12
context_a_environment_rate,0.577,12
context_a_environment_rate,0.614,12
context_a_environment_rate,0.651,12
context_a_environment_rate,0.688,12
context_a_environment_rate,0.725,12
context_a_environment_rate,0.762,12
context_a_environment_rate,0.799,12
context_a_environment_rate,0.836,12
context_a_environment_rate,0.873,12
context_a_environment_rate,0.109,12
context_a_environment_rate,0.146,12
context_a_environment_rate,0.183,12
context_a_environment_rate,0.22,12
context_a_environment_rate,0.257,12
context_a_environment_rate,0.294,12
context_a_environment_rate,0.331,12
context_a_environment_rate,0.368,12
context_a_environment_rate,0.405,12
context_a_environment_rate,0.442,12
context_a_environment_rate,0.479,12
context_a_environment_rate,0.516,12
context_a_environment_rate,0.553,12
context_a_environment_rate,0.59,12
context_a_environment_rate,0.627,12
context_a_environment_rate,0.664,12
context_a_environment_rate,0.701,12
context_a_environment_rate,0.738,12
context_a_environment_rate,0.775,12
context_a_environment_rate,0.812,12
context_a_environment_rate,0.849,12
context_a_environment_rate,0.886,12
context_a_environment_rate,0.122,12
context_a_environment_rate,0.159,12
context_a_environment_rate,0.196,12
context_a_environment_rate,0.233,12
context_a_environment_rate,0.27,12
context_a_environment_rate,0.307,12
context_a_environment_rate,0.344,12
context_a_environment_rate,0.381,12
context_a_environment_rate,0.418,12
context_a_environment_rate,0.455,12
context_a_environment_rate,0.492,12
context_a_environment_rate,0.529,12
context_a_environment_rate,0.566,12
context_a_environment_rate,0.603,12
context_a_environment_rate,0.64,12
context_a_environment_rate,0.677,12
context_a_environment_rate,0.714,12
context_a_environment_rate,0.751,12
context_a_environment_rate,0.788,12
context_a_environment_rate,0.825,12
context_a_environment_rate,0.862,12
context_a_environment_rate,0.899,12
context_a_environment_rate,0.135,12
context_a_environment_rate,0.172,12
context_a_environment_rate,0.209,12
context_a_environment_rate,0.246,12
context_a_environment_rate,0.283,12
context_a_environment_rate,0.32,12
context_a_environment_rate,0.357,12
context_a_environment_rate,0.394,12
context_a_environment_rate,0.431,12
context_a_environment_rate,0.468,12
context_a_environment_rate,0.505,12
context_a_environment_rate,0.542,12
context_a_environment_rate,0.579,12
context_a_environment_rate,0.616,12
context_a_environment_rate,0.653,12
context_a_environment_rate,0.69,12
context_a_environment_rate,0.727,12
context_a_environment_rate,0.764,12
context_a_environment_rate,0.801,12
context_a_environment_rate,0.838,12
context_a_environment_rate,0.875,12
context_a_environment_rate,0.111,12
context_a_environment_rate,0.148,12
context_a_environment_rate,0.185,12
context_a_environment_rate,0.222,12
context_a_environment_rate,0.259,12
context_a_environment_rate,0.296,12
context_a_environment_rate,0.333,12
context_a_environment_rate,0.37,12
context_a_environment_rate,0.407,12
context_a_environment_rate,0.444,12
context_a_environment_rate,0.481,12
context_a_environment_rate,0.518,12
