source_condition_id,target_condition_id,task_family,layer,direction,baseline_persistence_logit,patched_persistence_logit,persistence_logit_change
mech-action_history-000243-plus-m0,mech-action_history-000243-minus-m0,information_sampling,30,random,-0.75,-0.75,0.0
mech-action_history-000013-plus-m0,mech-action_history-000013-minus-m0,solvability,8,action_raw,-1.25,-1.125,0.125
mech-action_history-000013-plus-m0,mech-action_history-000013-minus-m0,solvability,8,action_residualized,-1.25,-1.125,0.125
mech-action_history-000013-plus-m0,mech-action_history-000013-minus-m0,solvability,8,persistence,-1.25,-1.25,0.0
mech-action_history-000013-plus-m0,mech-action_history-000013-minus-m0,solvability,8,random,-1.25,-1.125,0.125
mech-action_history-000013-plus-m0,mech-action_history-000013-minus-m0,solvability,30,action_raw,-1.25,-1.25,0.0
mech-action_history-000013-plus-m0,mech-action_history-000013-minus-m0,solvability,30,action_residualized,-1.25,-1.25,0.0
mech-action_history-000013-plus-m0,mech-action_history-000013-minus-m0,solvability,30,persistence,-1.25,-1.25,0.0
mech-action_history-000013-plus-m0,mech-action_history-000013-minus-m0,solvability,30,random,-1.25,-1.25,0.0
mech-action_history-000503-plus-m0,mech-action_history-000503-minus-m0,solvability,8,action_raw,-0.25,-0.25,0.0
mech-action_history-000503-plus-m0,mech-action_history-000503-minus-m0,solvability,8,action_residualized,-0.25,-0.25,0.0
mech-action_history-000503-plus-m0,mech-action_history-000503-minus-m0,solvability,8,persistence,-0.25,-0.25,0.0
mech-action_history-000503-plus-m0,mech-action_history-000503-minus-m0,solvability,8,random,-0.25,-0.25,0.0
mech-action_history-000503-plus-m0,mech-action_history-000503-minus-m0,solvability,30,action_raw,-0.25,-0.375,-0.125
mech-action_history-000503-plus-m0,mech-action_history-000503-minus-m0,solvability,30,action_residualized,-0.25,-0.25,0.0
mech-action_history-000503-plus-m0,mech-action_history-000503-minus-m0,solvability,30,persistence,-0.25,-0.25,0.0
mech-action_history-000503-plus-m0,mech-action_history-000503-minus-m0,solvability,30,random,-0.25,-0.25,0.0
mech-action_history-001098-plus-m1,mech-action_history-001098-minus-m1,solvability,8,action_raw,0.125,0.125,0.0
mech-action_history-001098-plus-m1,mech-action_history-001098-minus-m1,solvability,8,action_residualized,0.125,0.125,0.0
mech-action_history-001098-plus-m1,mech-action_history-001098-minus-m1,solvability,8,persistence,0.125,0.125,0.0
mech-action_history-001098-plus-m1,mech-action_history-001098-minus-m1,solvability,8,random,0.125,0.0,-0.125
mech-action_history-001098-plus-m1,mech-action_history-001098-minus-m1,solvability,30,action_raw,0.125,0.125,0.0
mech-action_history-001098-plus-m1,mech-action_history-001098-minus-m1,solvability,30,action_residualized,0.125,0.0,-0.125
mech-action_history-001098-plus-m1,mech-action_history-001098-minus-m1,solvability,30,persistence,0.125,0.125,0.0
mech-action_history-001098-plus-m1,mech-action_history-001098-minus-m1,solvability,30,random,0.125,0.0,-0.125
mech-action_history-000163-plus-m0,mech-action_history-000163-minus-m0,waiting,8,action_raw,-0.375,-0.375,0.0
mech-action_history-000163-plus-m0,mech-action_history-000163-minus-m0,waiting,8,action_residualized,-0.375,-0.5,-0.125
mech-action_history-000163-plus-m0,mech-action_history-000163-minus-m0,waiting,8,persistence,-0.375,-0.375,0.0
mech-action_history-000163-plus-m0,mech-action_history-000163-minus-m0,waiting,8,random,-0.375,-0.375,0.0
mech-action_history-000163-plus-m0,mech-action_history-000163-minus-m0,waiting,30,action_raw,-0.375,-0.5,-0.125
mech-action_history-000163-plus-m0,mech-action_history-000163-minus-m0,waiting,30,action_residualized,-0.375,-0.5,-0.125
mech-action_history-000163-plus-m0,mech-action_history-000163-minus-m0,waiting,30,persistence,-0.375,-0.375,0.0
mech-action_history-000163-plus-m0,mech-action_history-000163-minus-m0,waiting,30,random,-0.375,-0.375,0.0
mech-action_history-000233-plus-m0,mech-action_history-000653-minus-m0,waiting,8,action_raw,-0.625,-0.75,-0.125
mech-action_history-000233-plus-m0,mech-action_history-000653-minus-m0,waiting,8,action_residualized,-0.625,-0.75,-0.125
mech-action_history-000233-plus-m0,mech-action_history-000653-minus-m0,waiting,8,persistence,-0.625,-0.75,-0.125
mech-action_history-000233-plus-m0,mech-action_history-000653-minus-m0,waiting,8,random,-0.625,-0.75,-0.125
mech-action_history-000233-plus-m0,mech-action_history-000653-minus-m0,waiting,30,action_raw,-0.625,-0.75,-0.125
mech-action_history-000233-plus-m0,mech-action_history-000653-minus-m0,waiting,30,action_residualized,-0.625,-0.75,-0.125
mech-action_history-000233-plus-m0,mech-action_history-000653-minus-m0,waiting,30,persistence,-0.625,-0.625,0.0
mech-action_history-000233-plus-m0,mech-action_history-000653-minus-m0,waiting,30,random,-0.625,-0.625,0.0
mech-action_history-000373-plus-m0,mech-action_history-000688-minus-m0,waiting,8,action_raw,-0.5,-0.625,-0.125
mech-action_history-000373-plus-m0,mech-action_history-000688-minus-m0,waiting,8,action_residualized,-0.5,-0.5,0.0
mech-action_history-000373-plus-m0,mech-action_history-000688-minus-m0,waiting,8,persistence,-0.5,-0.625,-0.125
mech-action_history-000373-plus-m0,mech-action_history-000688-minus-m0,waiting,8,random,-0.5,-0.5,0.0
mech-action_history-000373-plus-m0,mech-action_history-000688-minus-m0,waiting,30,action_raw,-0.5,-0.625,-0.125
mech-action_history-000373-plus-m0,mech-action_history-000688-minus-m0,waiting,30,action_residualized,-0.5,-0.5,0.0
mech-action_history-000373-plus-m0,mech-action_history-000688-minus-m0,waiting,30,persistence,-0.5,-0.5,0.0
mech-action_history-000373-plus-m0,mech-action_history-000688-minus-m0,waiting,30,random,-0.5,-0.625,-0.125
