pair_index,pair_id,contrast_id,target_variable,counterfactual_subtype,scientific_role,base_condition_id,source_condition_id,task_family,response_mapping,pair_split,base_variable,source_variable,variable_delta,source_base_semantically_matched,behavioral_validation_row,predicted_effect_magnitude,theory_disagreement,selection_score,selected_for_neural,evaluation_set
15,cf:outcome_history:mech-outcome_history-000110:continue_x,mech-outcome_history-000110,outcome_history,history_isolated,primary,mech-outcome_history-000110-minus-m0,mech-outcome_history-000110-plus-m0,foraging,continue_x,mech_pair_test,-2.19,2.19,4.38,True,False,0.8708011878799057,4.34193906687641e-05,0.8708446072705744,True,original_pairs
16,cf:outcome_history:mech-outcome_history-000130:continue_x,mech-outcome_history-000130,outcome_history,history_isolated,primary,mech-outcome_history-000130-minus-m0,mech-outcome_history-000130-plus-m0,effort,continue_x,mech_task_holdout,-2.19,2.19,4.38,True,False,0.9976307213156859,0.017154745091986223,1.014785466407672,True,original_pairs
17,cf:outcome_history:mech-outcome_history-000130:continue_y,mech-outcome_history-000130,outcome_history,history_isolated,primary,mech-outcome_history-000130-minus-m1,mech-outcome_history-000130-plus-m1,effort,continue_y,mech_task_holdout,-2.19,2.19,4.38,True,False,0.9976307213156858,0.017154745091986,1.0147854664076719,True,original_pairs
18,cf:outcome_history:mech-outcome_history-000140:continue_y,mech-outcome_history-000140,outcome_history,history_isolated,primary,mech-outcome_history-000140-minus-m1,mech-outcome_history-000140-plus-m1,bandit,continue_y,mech_pair_train,-2.19,2.19,4.38,True,False,1.3094168410481002,0.007934073392376728,1.317350914440477,True,original_pairs
19,cf:outcome_history:mech-outcome_history-000185:continue_x,mech-outcome_history-000185,outcome_history,history_isolated,primary,mech-outcome_history-000185-minus-m0,mech-outcome_history-000185-plus-m0,solvability,continue_x,mech_pair_validation,-2.19,2.19,4.38,True,False,1.5157280863495735,0.0074978981192570515,1.5232259844688305,True,original_pairs
20,cf:outcome_history:mech-outcome_history-000185:continue_y,mech-outcome_history-000185,outcome_history,history_isolated,primary,mech-outcome_history-000185-minus-m1,mech-outcome_history-000185-plus-m1,solvability,continue_y,mech_pair_validation,-2.19,2.19,4.38,True,False,1.515728086349574,0.007497898119257496,1.5232259844688314,True,original_pairs
21,cf:outcome_history:mech-outcome_history-000200:continue_x,mech-outcome_history-000200,outcome_history,history_isolated,primary,mech-outcome_history-000200-minus-m0,mech-outcome_history-000200-plus-m0,effort,continue_x,mech_task_holdout,-2.19,2.19,4.38,True,False,0.9976307213156862,0.01715474509198589,1.014785466407672,True,original_pairs
22,cf:outcome_history:mech-outcome_history-000220:continue_x,mech-outcome_history-000220,outcome_history,history_isolated,primary,mech-outcome_history-000220-minus-m0,mech-outcome_history-000220-plus-m0,solvability,continue_x,mech_pair_train,-2.19,2.19,4.38,True,False,1.5157280863495737,0.0074978981192572736,1.523225984468831,True,original_pairs
23,cf:outcome_history:mech-outcome_history-000220:continue_y,mech-outcome_history-000220,outcome_history,history_isolated,primary,mech-outcome_history-000220-minus-m1,mech-outcome_history-000220-plus-m1,solvability,continue_y,mech_pair_train,-2.19,2.19,4.38,True,False,1.5157280863495741,0.0074978981192572736,1.5232259844688314,True,original_pairs
24,cf:outcome_history:mech-outcome_history-000250:continue_x,mech-outcome_history-000250,outcome_history,history_isolated,primary,mech-outcome_history-000250-minus-m0,mech-outcome_history-000250-plus-m0,foraging,continue_x,mech_pair_validation,-2.19,2.19,4.38,True,False,0.8708011878799056,4.3419390668875124e-05,0.8708446072705744,True,original_pairs
25,cf:outcome_history:mech-outcome_history-000250:continue_y,mech-outcome_history-000250,outcome_history,history_isolated,primary,mech-outcome_history-000250-minus-m1,mech-outcome_history-000250-plus-m1,foraging,continue_y,mech_pair_validation,-2.19,2.19,4.38,True,False,0.8708011878799056,4.3419390668875124e-05,0.8708446072705744,True,original_pairs
26,cf:outcome_history:mech-outcome_history-000265:continue_y,mech-outcome_history-000265,outcome_history,history_isolated,primary,mech-outcome_history-000265-minus-m1,mech-outcome_history-000265-plus-m1,waiting,continue_y,mech_task_holdout,-2.19,2.19,4.38,True,False,0.7202852497856278,0.006700424744847444,0.7269856745304752,True,original_pairs
27,cf:outcome_history:mech-outcome_history-000275:continue_y,mech-outcome_history-000275,outcome_history,history_isolated,primary,mech-outcome_history-000275-minus-m1,mech-outcome_history-000275-plus-m1,information_sampling,continue_y,mech_task_holdout,-2.19,2.19,4.38,True,False,0.02527842492065524,0.011987789216894473,0.037266214137549714,True,original_pairs
28,cf:outcome_history:mech-outcome_history-000295:continue_x,mech-outcome_history-000295,outcome_history,history_isolated,primary,mech-outcome_history-000295-minus-m0,mech-outcome_history-000295-plus-m0,debugging,continue_x,mech_pair_test,-2.19,2.19,4.38,True,False,0.8899279749312128,0.0016081173040924934,0.8915360922353053,True,original_pairs
29,cf:outcome_history:mech-outcome_history-000295:continue_y,mech-outcome_history-000295,outcome_history,history_isolated,primary,mech-outcome_history-000295-minus-m1,mech-outcome_history-000295-plus-m1,debugging,continue_y,mech_pair_test,-2.19,2.19,4.38,True,False,0.8899279749312123,0.0016081173040922714,0.8915360922353046,True,original_pairs
30,cf:outcome_history:mech-outcome_history-000305:continue_y,mech-outcome_history-000305,outcome_history,history_isolated,primary,mech-outcome_history-000305-minus-m1,mech-outcome_history-000305-plus-m1,effort,continue_y,mech_task_holdout,-2.19,2.19,4.38,True,False,0.997630721315686,0.017154745091986112,1.014785466407672,True,original_pairs
31,cf:outcome_history:mech-outcome_history-000310:continue_y,mech-outcome_history-000310,outcome_history,history_isolated,primary,mech-outcome_history-000310-minus-m1,mech-outcome_history-000310-plus-m1,information_sampling,continue_y,mech_task_holdout,-2.19,2.19,4.38,True,False,0.025278424920655462,0.011987789216893807,0.03726621413754927,True,original_pairs
32,cf:outcome_history:mech-outcome_history-000335:continue_x,mech-outcome_history-000335,outcome_history,history_isolated,primary,mech-outcome_history-000335-minus-m0,mech-outcome_history-000335-plus-m0,waiting,continue_x,mech_task_holdout,-2.19,2.19,4.38,True,False,0.7202852497856267,0.00670042474484811,0.7269856745304748,True,original_pairs
33,cf:outcome_history:mech-outcome_history-000345:continue_x,mech-outcome_history-000345,outcome_history,history_isolated,primary,mech-outcome_history-000345-minus-m0,mech-outcome_history-000345-plus-m0,information_sampling,continue_x,mech_task_holdout,-2.19,2.19,4.38,True,False,0.025278424920654796,0.011987789216894473,0.03726621413754927,True,original_pairs
34,cf:outcome_history:mech-outcome_history-000355:continue_y,mech-outcome_history-000355,outcome_history,history_isolated,primary,mech-outcome_history-000355-minus-m1,mech-outcome_history-000355-plus-m1,foraging,continue_y,mech_pair_validation,-2.19,2.19,4.38,True,False,0.8708011878799052,4.34193906687641e-05,0.870844607270574,True,original_pairs
35,cf:outcome_history:mech-outcome_history-000385:continue_x,mech-outcome_history-000385,outcome_history,history_isolated,primary,mech-outcome_history-000385-minus-m0,mech-outcome_history-000385-plus-m0,bandit,continue_x,mech_pair_validation,-2.19,2.19,4.38,True,False,1.3094168410480995,0.007934073392376062,1.3173509144404756,True,original_pairs
36,cf:outcome_history:mech-outcome_history-000385:continue_y,mech-outcome_history-000385,outcome_history,history_isolated,primary,mech-outcome_history-000385-minus-m1,mech-outcome_history-000385-plus-m1,bandit,continue_y,mech_pair_validation,-2.19,2.19,4.38,True,False,1.3094168410480995,0.007934073392376062,1.3173509144404756,True,original_pairs
37,cf:outcome_history:mech-outcome_history-000400:continue_y,mech-outcome_history-000400,outcome_history,history_isolated,primary,mech-outcome_history-000400-minus-m1,mech-outcome_history-000400-plus-m1,debugging,continue_y,mech_pair_validation,-2.19,2.19,4.38,True,False,0.8899279749312132,0.0016081173040920493,0.8915360922353053,True,original_pairs
38,cf:outcome_history:mech-outcome_history-000460:continue_y,mech-outcome_history-000460,outcome_history,history_isolated,primary,mech-outcome_history-000460-minus-m1,mech-outcome_history-000460-plus-m1,foraging,continue_y,mech_pair_test,-2.19,2.19,4.38,True,False,0.8708011878799056,4.341939066854206e-05,0.8708446072705741,True,original_pairs
39,cf:outcome_history:mech-outcome_history-000465:continue_x,mech-outcome_history-000465,outcome_history,history_isolated,primary,mech-outcome_history-000465-minus-m0,mech-outcome_history-000465-plus-m0,solvability,continue_x,mech_pair_test,-2.19,2.19,4.38,True,False,1.515728086349574,0.007497898119257496,1.5232259844688314,True,original_pairs
40,cf:outcome_history:mech-outcome_history-000465:continue_y,mech-outcome_history-000465,outcome_history,history_isolated,primary,mech-outcome_history-000465-minus-m1,mech-outcome_history-000465-plus-m1,solvability,continue_y,mech_pair_test,-2.19,2.19,4.38,True,False,1.515728086349574,0.0074978981192570515,1.523225984468831,True,original_pairs
41,cf:outcome_history:mech-outcome_history-000475:continue_x,mech-outcome_history-000475,outcome_history,history_isolated,primary,mech-outcome_history-000475-minus-m0,mech-outcome_history-000475-plus-m0,waiting,continue_x,mech_task_holdout,-2.19,2.19,4.38,True,False,0.7202852497856265,0.006700424744847888,0.7269856745304744,True,original_pairs
42,cf:outcome_history:mech-outcome_history-000475:continue_y,mech-outcome_history-000475,outcome_history,history_isolated,primary,mech-outcome_history-000475-minus-m1,mech-outcome_history-000475-plus-m1,waiting,continue_y,mech_task_holdout,-2.19,2.19,4.38,True,False,0.7202852497856266,0.006700424744848221,0.7269856745304748,True,original_pairs
43,cf:outcome_history:mech-outcome_history-000490:continue_y,mech-outcome_history-000490,outcome_history,history_isolated,primary,mech-outcome_history-000490-minus-m1,mech-outcome_history-000490-plus-m1,bandit,continue_y,mech_pair_train,-2.19,2.19,4.38,True,False,1.3094168410481,0.007934073392376728,1.3173509144404767,True,original_pairs
44,cf:outcome_history:mech-outcome_history-000495:continue_x,mech-outcome_history-000495,outcome_history,history_isolated,primary,mech-outcome_history-000495-minus-m0,mech-outcome_history-000495-plus-m0,foraging,continue_x,mech_pair_train,-2.19,2.19,4.38,True,False,0.870801187879906,4.341939066931921e-05,0.8708446072705753,True,original_pairs
45,cf:outcome_history:mech-outcome_history-000540:continue_x,mech-outcome_history-000540,outcome_history,history_isolated,primary,mech-outcome_history-000540-minus-m0,mech-outcome_history-000540-plus-m0,debugging,continue_x,mech_pair_train,-2.19,2.19,4.38,True,False,0.8899279749312128,0.0016081173040927155,0.8915360922353055,True,original_pairs
46,cf:outcome_history:mech-outcome_history-000540:continue_y,mech-outcome_history-000540,outcome_history,history_isolated,primary,mech-outcome_history-000540-minus-m1,mech-outcome_history-000540-plus-m1,debugging,continue_y,mech_pair_train,-2.19,2.19,4.38,True,False,0.8899279749312127,0.0016081173040926044,0.8915360922353053,True,original_pairs
47,cf:outcome_history:mech-outcome_history-000565:continue_x,mech-outcome_history-000565,outcome_history,history_isolated,primary,mech-outcome_history-000565-minus-m0,mech-outcome_history-000565-plus-m0,foraging,continue_x,mech_pair_train,-2.19,2.19,4.38,True,False,0.870801187879906,4.341939066998535e-05,0.870844607270576,True,original_pairs
48,cf:outcome_history:mech-outcome_history-000565:continue_y,mech-outcome_history-000565,outcome_history,history_isolated,primary,mech-outcome_history-000565-minus-m1,mech-outcome_history-000565-plus-m1,foraging,continue_y,mech_pair_train,-2.19,2.19,4.38,True,False,0.870801187879906,4.341939066954126e-05,0.8708446072705756,True,original_pairs
49,cf:outcome_history:mech-outcome_history-000570:continue_y,mech-outcome_history-000570,outcome_history,history_isolated,primary,mech-outcome_history-000570-minus-m1,mech-outcome_history-000570-plus-m1,solvability,continue_y,mech_pair_train,-2.19,2.19,4.38,True,False,1.5157280863495743,0.0074978981192572736,1.5232259844688316,True,original_pairs
50,cf:outcome_history:mech-outcome_history-000595:continue_x,mech-outcome_history-000595,outcome_history,history_isolated,primary,mech-outcome_history-000595-minus-m0,mech-outcome_history-000595-plus-m0,bandit,continue_x,mech_pair_test,-2.19,2.19,4.38,True,False,1.3094168410480997,0.00793407339237695,1.3173509144404767,True,original_pairs
51,cf:outcome_history:mech-outcome_history-000595:continue_y,mech-outcome_history-000595,outcome_history,history_isolated,primary,mech-outcome_history-000595-minus-m1,mech-outcome_history-000595-plus-m1,bandit,continue_y,mech_pair_test,-2.19,2.19,4.38,True,False,1.3094168410480997,0.007934073392376506,1.3173509144404763,True,original_pairs
52,cf:outcome_history:mech-outcome_history-000600:continue_x,mech-outcome_history-000600,outcome_history,history_isolated,primary,mech-outcome_history-000600-minus-m0,mech-outcome_history-000600-plus-m0,foraging,continue_x,mech_pair_test,-2.19,2.19,4.38,True,False,0.8708011878799056,4.341939066909717e-05,0.8708446072705747,True,original_pairs
53,cf:outcome_history:mech-outcome_history-000600:continue_y,mech-outcome_history-000600,outcome_history,history_isolated,primary,mech-outcome_history-000600-minus-m1,mech-outcome_history-000600-plus-m1,foraging,continue_y,mech_pair_test,-2.19,2.19,4.38,True,False,0.8708011878799058,4.341939066909717e-05,0.8708446072705749,True,original_pairs
54,cf:outcome_history:mech-outcome_history-000615:continue_x,mech-outcome_history-000615,outcome_history,history_isolated,primary,mech-outcome_history-000615-minus-m0,mech-outcome_history-000615-plus-m0,waiting,continue_x,mech_task_holdout,-2.19,2.19,4.38,True,False,0.7202852497856265,0.006700424744847888,0.7269856745304744,True,original_pairs
55,cf:outcome_history:mech-outcome_history-000645:continue_y,mech-outcome_history-000645,outcome_history,history_isolated,primary,mech-outcome_history-000645-minus-m1,mech-outcome_history-000645-plus-m1,debugging,continue_y,mech_pair_test,-2.19,2.19,4.38,True,False,0.8899279749312123,0.0016081173040918273,0.8915360922353042,True,original_pairs
56,cf:outcome_history:mech-outcome_history-000675:continue_x,mech-outcome_history-000675,outcome_history,history_isolated,primary,mech-outcome_history-000675-minus-m0,mech-outcome_history-000675-plus-m0,solvability,continue_x,mech_pair_test,-2.19,2.19,4.38,True,False,1.5157280863495735,0.007497898119257718,1.5232259844688312,True,original_pairs
57,cf:outcome_history:mech-outcome_history-000675:continue_y,mech-outcome_history-000675,outcome_history,history_isolated,primary,mech-outcome_history-000675-minus-m1,mech-outcome_history-000675-plus-m1,solvability,continue_y,mech_pair_test,-2.19,2.19,4.38,True,False,1.515728086349574,0.00749789811925794,1.5232259844688318,True,original_pairs
58,cf:outcome_history:mech-outcome_history-000680:continue_x,mech-outcome_history-000680,outcome_history,history_isolated,primary,mech-outcome_history-000680-minus-m0,mech-outcome_history-000680-plus-m0,debugging,continue_x,mech_pair_validation,-2.19,2.19,4.38,True,False,0.8899279749312125,0.0016081173040919383,0.8915360922353044,True,original_pairs
59,cf:outcome_history:mech-outcome_history-000680:continue_y,mech-outcome_history-000680,outcome_history,history_isolated,primary,mech-outcome_history-000680-minus-m1,mech-outcome_history-000680-plus-m1,debugging,continue_y,mech_pair_validation,-2.19,2.19,4.38,True,False,0.8899279749312126,0.0016081173040921604,0.8915360922353047,True,original_pairs
60,cf:outcome_history:mech-outcome_history-000705:continue_x,mech-outcome_history-000705,outcome_history,history_isolated,primary,mech-outcome_history-000705-minus-m0,mech-outcome_history-000705-plus-m0,foraging,continue_x,mech_pair_validation,-2.19,2.19,4.38,True,False,0.8708011878799052,4.341939066854206e-05,0.8708446072705738,True,original_pairs
61,cf:outcome_history:mech-outcome_history-000710:continue_x,mech-outcome_history-000710,outcome_history,history_isolated,primary,mech-outcome_history-000710-minus-m0,mech-outcome_history-000710-plus-m0,solvability,continue_x,mech_pair_test,-2.19,2.19,4.38,True,False,1.515728086349574,0.0074978981192570515,1.523225984468831,True,original_pairs
62,cf:outcome_history:mech-outcome_history-000710:continue_y,mech-outcome_history-000710,outcome_history,history_isolated,primary,mech-outcome_history-000710-minus-m1,mech-outcome_history-000710-plus-m1,solvability,continue_y,mech_pair_test,-2.19,2.19,4.38,True,False,1.5157280863495737,0.0074978981192568295,1.5232259844688305,True,original_pairs
63,cf:outcome_history:mech-outcome_history-000725:continue_y,mech-outcome_history-000725,outcome_history,history_isolated,primary,mech-outcome_history-000725-minus-m1,mech-outcome_history-000725-plus-m1,effort,continue_y,mech_task_holdout,-2.19,2.19,4.38,True,False,0.9976307213156861,0.017154745091986445,1.0147854664076725,True,original_pairs
64,cf:outcome_history:mech-outcome_history-000735:continue_x,mech-outcome_history-000735,outcome_history,history_isolated,primary,mech-outcome_history-000735-minus-m0,mech-outcome_history-000735-plus-m0,bandit,continue_x,mech_pair_train,-2.19,2.19,4.38,True,False,1.3094168410481002,0.00793407339237695,1.3173509144404771,True,original_pairs
65,cf:outcome_history:mech-outcome_history-000770:continue_x,mech-outcome_history-000770,outcome_history,history_isolated,primary,mech-outcome_history-000770-minus-m0,mech-outcome_history-000770-plus-m0,bandit,continue_x,mech_pair_validation,-2.19,2.19,4.38,True,False,1.3094168410480995,0.007934073392376062,1.3173509144404756,True,original_pairs
66,cf:outcome_history:mech-outcome_history-000810:continue_x,mech-outcome_history-000810,outcome_history,history_isolated,primary,mech-outcome_history-000810-minus-m0,mech-outcome_history-000810-plus-m0,foraging,continue_x,mech_pair_test,-2.19,2.19,4.38,True,False,0.8708011878799052,4.34193906687641e-05,0.870844607270574,True,original_pairs
67,cf:outcome_history:mech-outcome_history-000810:continue_y,mech-outcome_history-000810,outcome_history,history_isolated,primary,mech-outcome_history-000810-minus-m1,mech-outcome_history-000810-plus-m1,foraging,continue_y,mech_pair_test,-2.19,2.19,4.38,True,False,0.870801187879905,4.34193906687641e-05,0.8708446072705738,True,original_pairs
68,cf:outcome_history:mech-outcome_history-000820:continue_x,mech-outcome_history-000820,outcome_history,history_isolated,primary,mech-outcome_history-000820-minus-m0,mech-outcome_history-000820-plus-m0,debugging,continue_x,mech_pair_validation,-2.19,2.19,4.38,True,False,0.889927974931213,0.0016081173040929375,0.8915360922353059,True,original_pairs
69,cf:outcome_history:mech-outcome_history-000880:continue_x,mech-outcome_history-000880,outcome_history,history_isolated,primary,mech-outcome_history-000880-minus-m0,mech-outcome_history-000880-plus-m0,foraging,continue_x,mech_pair_train,-2.19,2.19,4.38,True,False,0.8708011878799056,4.341939066954126e-05,0.8708446072705751,True,original_pairs
70,cf:outcome_history:mech-outcome_history-000880:continue_y,mech-outcome_history-000880,outcome_history,history_isolated,primary,mech-outcome_history-000880-minus-m1,mech-outcome_history-000880-plus-m1,foraging,continue_y,mech_pair_train,-2.19,2.19,4.38,True,False,0.8708011878799056,4.341939066909717e-05,0.8708446072705747,True,original_pairs
71,cf:outcome_history:mech-outcome_history-000920:continue_x,mech-outcome_history-000920,outcome_history,history_isolated,primary,mech-outcome_history-000920-minus-m0,mech-outcome_history-000920-plus-m0,solvability,continue_x,mech_pair_train,-2.19,2.19,4.38,True,False,1.515728086349574,0.0074978981192570515,1.523225984468831,True,original_pairs
72,cf:outcome_history:mech-outcome_history-000925:continue_x,mech-outcome_history-000925,outcome_history,history_isolated,primary,mech-outcome_history-000925-minus-m0,mech-outcome_history-000925-plus-m0,debugging,continue_x,mech_pair_test,-2.19,2.19,4.38,True,False,0.8899279749312136,0.0016081173040930485,0.8915360922353066,True,original_pairs
73,cf:outcome_history:mech-outcome_history-000925:continue_y,mech-outcome_history-000925,outcome_history,history_isolated,primary,mech-outcome_history-000925-minus-m1,mech-outcome_history-000925-plus-m1,debugging,continue_y,mech_pair_test,-2.19,2.19,4.38,True,False,0.8899279749312132,0.0016081173040929375,0.8915360922353062,True,original_pairs
74,cf:outcome_history:mech-outcome_history-000950:continue_y,mech-outcome_history-000950,outcome_history,history_isolated,primary,mech-outcome_history-000950-minus-m1,mech-outcome_history-000950-plus-m1,foraging,continue_y,mech_pair_train,-2.19,2.19,4.38,True,False,0.8708011878799056,4.341939066920819e-05,0.8708446072705748,True,original_pairs
75,cf:outcome_history:mech-outcome_history-000960:continue_y,mech-outcome_history-000960,outcome_history,history_isolated,primary,mech-outcome_history-000960-minus-m1,mech-outcome_history-000960-plus-m1,debugging,continue_y,mech_pair_train,-2.19,2.19,4.38,True,False,0.8899279749312127,0.0016081173040922714,0.8915360922353049,True,original_pairs
76,cf:outcome_history:mech-outcome_history-000985:continue_x,mech-outcome_history-000985,outcome_history,history_isolated,primary,mech-outcome_history-000985-minus-m0,mech-outcome_history-000985-plus-m0,foraging,continue_x,mech_pair_validation,-2.19,2.19,4.38,True,False,0.8708011878799052,4.341939066865308e-05,0.8708446072705739,True,original_pairs
77,cf:outcome_history:mech-outcome_history-000985:continue_y,mech-outcome_history-000985,outcome_history,history_isolated,primary,mech-outcome_history-000985-minus-m1,mech-outcome_history-000985-plus-m1,foraging,continue_y,mech_pair_validation,-2.19,2.19,4.38,True,False,0.8708011878799053,4.341939066865308e-05,0.870844607270574,True,original_pairs
78,cf:outcome_history:mech-outcome_history-000995:continue_x,mech-outcome_history-000995,outcome_history,history_isolated,primary,mech-outcome_history-000995-minus-m0,mech-outcome_history-000995-plus-m0,debugging,continue_x,mech_pair_train,-2.19,2.19,4.38,True,False,0.8899279749312132,0.0016081173040920493,0.8915360922353053,True,original_pairs
79,cf:outcome_history:mech-outcome_history-000995:continue_y,mech-outcome_history-000995,outcome_history,history_isolated,primary,mech-outcome_history-000995-minus-m1,mech-outcome_history-000995-plus-m1,debugging,continue_y,mech_pair_train,-2.19,2.19,4.38,True,False,0.8899279749312131,0.0016081173040920493,0.8915360922353052,True,original_pairs
80,cf:outcome_history:mech-outcome_history-001000:continue_y,mech-outcome_history-001000,outcome_history,history_isolated,primary,mech-outcome_history-001000-minus-m1,mech-outcome_history-001000-plus-m1,waiting,continue_y,mech_task_holdout,-2.19,2.19,4.38,True,False,0.7202852497856265,0.00670042474484811,0.7269856745304746,True,original_pairs
81,cf:outcome_history:mech-outcome_history-001010:continue_x,mech-outcome_history-001010,outcome_history,history_isolated,primary,mech-outcome_history-001010-minus-m0,mech-outcome_history-001010-plus-m0,information_sampling,continue_x,mech_task_holdout,-2.19,2.19,4.38,True,False,0.02527842492065524,0.011987789216894473,0.037266214137549714,True,original_pairs
82,cf:outcome_history:mech-outcome_history-001050:continue_x,mech-outcome_history-001050,outcome_history,history_isolated,primary,mech-outcome_history-001050-minus-m0,mech-outcome_history-001050-plus-m0,bandit,continue_x,mech_pair_train,-2.19,2.19,4.38,True,False,1.3094168410480997,0.007934073392377172,1.317350914440477,True,original_pairs
83,cf:outcome_history:mech-outcome_history-001085:continue_y,mech-outcome_history-001085,outcome_history,history_isolated,primary,mech-outcome_history-001085-minus-m1,mech-outcome_history-001085-plus-m1,bandit,continue_y,mech_pair_validation,-2.19,2.19,4.38,True,False,1.3094168410480997,0.007934073392376506,1.3173509144404763,True,original_pairs
84,cf:outcome_history:mech-outcome_history-001155:continue_x,mech-outcome_history-001155,outcome_history,history_isolated,primary,mech-outcome_history-001155-minus-m0,mech-outcome_history-001155-plus-m0,bandit,continue_x,mech_pair_train,-2.19,2.19,4.38,True,False,1.3094168410480997,0.00793407339237695,1.3173509144404767,True,original_pairs
