intervention_type,pair_index,base_persistence_logit,intervened_persistence_logit,predicted_counterfactual_effect,intervention_norm
cognitive_DAS_75001,57,-0.5,1.0,1.515728086349574,3.190582513809204
cognitive_DAS_75001,58,-1.5,-0.5,0.8883198576271205,2.161043405532837
cognitive_DAS_75001,59,-1.5,-0.625,0.8883198576271204,1.7807961702346802
cognitive_DAS_75001,60,-0.625,0.375,0.8708011878799052,2.8199281692504883
cognitive_DAS_75001,61,-1.5,0.5,1.515728086349574,4.262287616729736
cognitive_DAS_75001,62,-1.5,0.5,1.5157280863495737,3.839604139328003
cognitive_DAS_75001,63,-0.625,0.125,0.9804759762236996,2.4609217643737793
cognitive_DAS_75001,65,-0.625,0.5,1.3094168410480995,3.0278947353363037
cognitive_DAS_75001,66,0.0,1.0,0.8708011878799052,2.162372350692749
cognitive_DAS_75001,67,0.375,1.375,0.870801187879905,2.3675734996795654
cognitive_DAS_75001,68,-3.125,-2.0,0.8883198576271201,1.9621164798736572
cognitive_DAS_75001,72,-0.75,0.375,0.8883198576271205,2.3737337589263916
cognitive_DAS_75001,73,-0.5,0.375,0.8883198576271203,1.9920337200164795
cognitive_DAS_75001,76,-1.25,-0.625,0.8708011878799052,1.857068419456482
cognitive_DAS_75001,77,-0.875,-0.375,0.8708011878799053,1.4390782117843628
cognitive_DAS_75001,80,-1.0,-0.375,0.7135848250407784,1.4364691972732544
cognitive_DAS_75001,81,-1.125,-1.125,0.013290635703760767,0.5320059061050415
cognitive_DAS_75001,83,0.5,2.125,1.3094168410480997,3.367316484451294
cognitive_DAS_75001,85,-2.5,-0.75,1.5157280863495735,3.4836392402648926
cognitive_DAS_75001,86,-2.0,-0.125,1.5157280863495735,3.7284281253814697
cognitive_DAS_75001,88,-1.75,-0.875,0.18253894767374312,1.8443330526351929
cognitive_DAS_75001,89,-1.75,-0.75,0.443308872921948,2.415346384048462
cognitive_DAS_75001,90,-0.375,-0.375,-0.18253894767374318,0.4136400818824768
cognitive_DAS_75001,91,-0.375,-0.75,-0.4433088729219476,1.1933536529541016
cognitive_DAS_75001,92,-1.0,-0.375,0.18253894767374312,1.8008965253829956
cognitive_DAS_75001,93,-1.0,-0.125,0.44330887292194787,2.431457281112671
cognitive_DAS_75001,94,0.25,0.25,-0.1825389476737433,0.37085527181625366
cognitive_DAS_75001,95,0.25,-0.25,-0.44330887292194765,1.2284585237503052
cognitive_DAS_75001,96,-1.125,-0.5,0.17801525314539324,1.311995267868042
cognitive_DAS_75001,97,-1.125,-0.375,0.4323227576388121,1.520674228668213
cognitive_DAS_75001,98,0.25,0.0,-0.17801525314539313,0.9148266315460205
cognitive_DAS_75001,99,0.25,-0.375,-0.4323227576388122,1.3010022640228271
cognitive_DAS_75001,100,-1.25,-0.625,0.17801525314539335,1.1678482294082642
cognitive_DAS_75001,101,-1.25,-0.625,0.43232275763881245,1.2242984771728516
cognitive_DAS_75001,102,-0.75,-0.625,-0.17801525314539313,0.28331616520881653
cognitive_DAS_75001,103,-0.75,-0.875,-0.43232275763881134,0.6671202778816223
cognitive_DAS_75001,104,0.25,0.75,0.14023852014768762,1.300428867340088
cognitive_DAS_75001,105,0.25,1.0,0.34057926321581283,1.5591973066329956
cognitive_DAS_75001,106,1.75,1.625,-0.14023852014768745,0.29448503255844116
cognitive_DAS_75001,107,1.75,1.5,-0.3405792632158128,0.7468396425247192
cognitive_DAS_75001,108,-1.0,-0.5,0.14023852014768756,0.8137550354003906
cognitive_DAS_75001,109,-1.0,-0.5,0.34057926321581256,0.9460199475288391
cognitive_DAS_75001,110,-0.375,-0.25,-0.1402385201476874,0.42200878262519836
cognitive_DAS_75001,111,-0.375,-0.375,-0.34057926321581256,0.6622196435928345
cognitive_DAS_75001,112,-1.375,-0.875,0.14912846997276505,0.8486309051513672
cognitive_DAS_75001,113,-1.375,-0.875,0.3621691413624293,1.0588066577911377
cognitive_DAS_75001,114,-0.375,-0.375,-0.1491284699727653,0.39542508125305176
cognitive_DAS_75001,115,-0.375,-0.625,-0.36216914136242995,0.9107090830802917
cognitive_DAS_75001,116,-1.5,-1.0,0.1491284699727653,0.9472599625587463
cognitive_DAS_75001,117,-1.5,-0.875,0.3621691413624295,1.1768531799316406
cognitive_DAS_75001,118,-0.75,-1.0,-0.14912846997276535,0.6630756258964539
cognitive_DAS_75001,119,-0.75,-1.0,-0.36216914136242956,0.9117960929870605
cognitive_DAS_75001,120,-2.125,-2.125,0.02464256608969073,0.4542226493358612
cognitive_DAS_75001,121,-2.125,-2.125,0.059846231932105365,0.4360779821872711
cognitive_DAS_75001,122,-2.625,-2.5,-0.02464256608969073,0.3058204650878906
cognitive_DAS_75001,123,-2.625,-2.5,-0.059846231932105365,0.39617881178855896
cognitive_DAS_75001,124,-2.25,-2.0,0.024642566089689844,0.4088612198829651
cognitive_DAS_75001,125,-2.25,-2.0,0.05984623193210492,0.38647276163101196
cognitive_DAS_75001,126,-2.875,-2.625,-0.024642566089690288,0.25871479511260986
cognitive_DAS_75001,127,-2.875,-2.75,-0.059846231932105365,0.2746226191520691
cognitive_DAS_75001,128,-1.375,-0.625,0.26723475457825785,1.7546260356903076
cognitive_DAS_75001,129,-1.375,-0.125,0.6489986896900544,2.8367080688476562
cognitive_DAS_75001,130,0.625,-0.125,-0.2672347545782577,1.462449312210083
cognitive_DAS_75001,131,0.625,0.0,-0.6489986896900545,1.410975456237793
cognitive_DAS_75001,132,-1.25,-0.5,0.26723475457825774,1.59205961227417
cognitive_DAS_75001,133,-1.25,0.0,0.6489986896900543,2.6596171855926514
cognitive_DAS_75001,134,0.25,0.0,-0.26723475457825785,0.4955005645751953
cognitive_DAS_75001,135,0.25,-0.125,-0.6489986896900549,0.7781834006309509
cognitive_DAS_75001,136,-0.75,-0.375,0.1431760544952596,1.0124465227127075
cognitive_DAS_75001,137,-0.75,-0.375,0.3477132752027734,1.0266461372375488
cognitive_DAS_75001,138,0.125,-0.125,-0.1431760544952596,0.4667670726776123
cognitive_DAS_75001,139,0.125,-0.125,-0.3477132752027735,0.6710694432258606
cognitive_DAS_75001,140,-2.0,-1.625,0.14317605449525983,0.7486224174499512
cognitive_DAS_75001,141,-2.0,-1.625,0.3477132752027736,1.0034159421920776
cognitive_DAS_75001,142,-1.625,-1.625,-0.14317605449525983,0.19908784329891205
cognitive_DAS_75001,143,-1.625,-1.75,-0.34771327520277384,0.5174915790557861
cognitive_DAS_75002,0,-1.75,-0.5,1.3094168410480993,1.7600820064544678
cognitive_DAS_75002,1,-1.0,0.0,1.3094168410480995,1.6726586818695068
cognitive_DAS_75002,3,-2.125,-2.5,0.013290635703760323,1.4815175533294678
cognitive_DAS_75002,4,-2.25,-2.25,0.013290635703760323,1.3831850290298462
cognitive_DAS_75002,5,-2.75,-2.25,1.3094168410480993,0.9629430770874023
cognitive_DAS_75002,6,-2.375,-1.625,1.3094168410481,1.3215644359588623
cognitive_DAS_75002,9,-0.5,0.75,0.8883198576271205,3.4740700721740723
cognitive_DAS_75002,10,-0.625,0.125,0.8883198576271207,1.88894784450531
cognitive_DAS_75002,11,0.25,1.625,0.9804759762237005,3.397459030151367
cognitive_DAS_75002,12,-0.375,1.25,1.3094168410480997,3.8318705558776855
cognitive_DAS_75002,13,-0.375,1.0,1.3094168410480997,2.958136558532715
cognitive_DAS_75002,14,-1.125,0.25,0.8883198576271205,3.26776123046875
cognitive_DAS_75002,15,-1.375,-0.5,0.8708011878799057,1.306988000869751
cognitive_DAS_75002,16,-1.25,-0.625,0.9804759762236996,0.8538124561309814
cognitive_DAS_75002,17,-1.0,-0.375,0.9804759762236998,0.9537740349769592
cognitive_DAS_75002,19,-1.125,0.25,1.5157280863495735,3.707491636276245
cognitive_DAS_75002,20,-0.75,0.75,1.515728086349574,3.326319932937622
cognitive_DAS_75002,21,-1.75,-1.5,0.9804759762237003,0.6225534081459045
cognitive_DAS_75002,24,-1.5,-1.0,0.8708011878799056,0.9729568362236023
cognitive_DAS_75002,25,-0.75,-0.25,0.8708011878799056,0.8788599371910095
cognitive_DAS_75002,26,-2.0,-2.0,0.7135848250407804,0.3425067365169525
cognitive_DAS_75002,27,-2.375,-2.375,0.013290635703760767,0.9788480997085571
cognitive_DAS_75002,28,-1.375,-0.5,0.8883198576271203,2.0186729431152344
cognitive_DAS_75002,29,-1.25,-0.625,0.8883198576271201,1.0597236156463623
cognitive_DAS_75002,30,-0.625,0.375,0.9804759762236999,1.6438071727752686
cognitive_DAS_75002,31,-1.25,-1.25,0.013290635703761655,1.1899744272232056
cognitive_DAS_75002,32,-0.75,0.0,0.7135848250407786,1.7399675846099854
cognitive_DAS_75002,33,-1.875,-1.625,0.013290635703760323,0.5240014791488647
cognitive_DAS_75002,34,-0.5,0.0,0.8708011878799052,0.9227213859558105
cognitive_DAS_75002,35,-0.25,1.125,1.3094168410480995,3.328991174697876
cognitive_DAS_75002,36,-0.25,1.0,1.3094168410480995,2.726898670196533
cognitive_DAS_75002,37,-1.75,-1.25,0.8883198576271212,0.793148398399353
cognitive_DAS_75002,38,-1.5,-1.125,0.8708011878799056,0.6054142117500305
cognitive_DAS_75002,39,-1.375,0.25,1.515728086349574,4.033694744110107
cognitive_DAS_75002,40,-1.25,0.25,1.515728086349574,3.2796056270599365
cognitive_DAS_75002,41,-0.875,-0.25,0.7135848250407786,1.785482406616211
cognitive_DAS_75002,42,-1.125,-0.625,0.7135848250407784,0.9782311916351318
cognitive_DAS_75002,50,-1.75,-1.0,1.3094168410480997,1.3250718116760254
cognitive_DAS_75002,51,-1.75,-1.125,1.3094168410480997,1.3081769943237305
cognitive_DAS_75002,52,-2.0,-1.5,0.8708011878799056,0.7366667985916138
cognitive_DAS_75002,53,-1.25,-0.875,0.8708011878799058,0.5572766065597534
cognitive_DAS_75002,54,-1.5,-1.125,0.7135848250407786,0.6607822179794312
cognitive_DAS_75002,55,-3.375,-3.25,0.8883198576271205,0.4483618140220642
cognitive_DAS_75002,56,-0.875,0.875,1.5157280863495735,4.217382907867432
cognitive_DAS_75002,57,-0.5,1.0,1.515728086349574,3.7143869400024414
cognitive_DAS_75002,58,-1.5,-0.625,0.8883198576271205,1.970988392829895
cognitive_DAS_75002,59,-1.5,-1.0,0.8883198576271204,0.8861349821090698
cognitive_DAS_75002,60,-0.625,0.625,0.8708011878799052,3.085587978363037
cognitive_DAS_75002,61,-1.5,0.5,1.515728086349574,4.804166316986084
cognitive_DAS_75002,62,-1.5,0.375,1.5157280863495737,3.770512819290161
cognitive_DAS_75002,63,-0.625,0.0,0.9804759762236996,1.3761910200119019
cognitive_DAS_75002,65,-0.625,0.5,1.3094168410480995,2.122988700866699
cognitive_DAS_75002,66,0.0,1.25,0.8708011878799052,3.2488174438476562
cognitive_DAS_75002,67,0.375,1.25,0.870801187879905,2.5689542293548584
cognitive_DAS_75002,68,-3.125,-2.625,0.8883198576271201,0.7923112511634827
cognitive_DAS_75002,72,-0.75,0.625,0.8883198576271205,3.356771230697632
cognitive_DAS_75002,73,-0.5,0.25,0.8883198576271203,1.8069345951080322
cognitive_DAS_75002,76,-1.25,-0.875,0.8708011878799052,0.9271464347839355
cognitive_DAS_75002,77,-0.875,-0.5,0.8708011878799053,0.48824527859687805
cognitive_DAS_75002,80,-1.0,-0.5,0.7135848250407784,0.8300899863243103
cognitive_DAS_75002,81,-1.125,-1.125,0.013290635703760767,1.1785662174224854
cognitive_DAS_75002,83,0.5,2.25,1.3094168410480997,4.339003086090088
cognitive_DAS_75002,85,-2.5,-1.125,1.5157280863495735,2.28188419342041
cognitive_DAS_75002,86,-2.0,-0.375,1.5157280863495735,2.7797703742980957
cognitive_DAS_75002,88,-1.75,-1.125,0.18253894767374312,0.9533103108406067
cognitive_DAS_75002,89,-1.75,-1.0,0.443308872921948,1.1124800443649292
cognitive_DAS_75002,90,-0.375,-0.375,-0.18253894767374318,0.14475901424884796
cognitive_DAS_75002,91,-0.375,-0.75,-0.4433088729219476,0.5822633504867554
cognitive_DAS_75002,92,-1.0,-0.625,0.18253894767374312,0.8732709288597107
cognitive_DAS_75002,93,-1.0,-0.375,0.44330887292194787,1.1738333702087402
cognitive_DAS_75002,94,0.25,0.25,-0.1825389476737433,0.25594568252563477
cognitive_DAS_75002,95,0.25,-0.125,-0.44330887292194765,0.4828304350376129
cognitive_DAS_75002,96,-1.125,-0.375,0.17801525314539324,1.5336285829544067
cognitive_DAS_75002,97,-1.125,-0.375,0.4323227576388121,1.8208529949188232
cognitive_DAS_75002,98,0.25,-0.25,-0.17801525314539313,1.1095201969146729
cognitive_DAS_75002,99,0.25,-0.5,-0.4323227576388122,1.6768380403518677
cognitive_DAS_75002,100,-1.25,-0.75,0.17801525314539335,0.7286874055862427
cognitive_DAS_75002,101,-1.25,-0.875,0.43232275763881245,0.7411016821861267
cognitive_DAS_75002,102,-0.75,-0.5,-0.17801525314539313,0.17808696627616882
cognitive_DAS_75002,103,-0.75,-0.75,-0.43232275763881134,0.25780537724494934
cognitive_DAS_75002,104,0.25,1.0,0.14023852014768762,1.5321605205535889
cognitive_DAS_75002,105,0.25,1.125,0.34057926321581283,2.0346710681915283
cognitive_DAS_75002,106,1.75,1.625,-0.14023852014768745,0.6576593518257141
cognitive_DAS_75002,107,1.75,1.25,-0.3405792632158128,1.509063720703125
cognitive_DAS_75002,108,-1.0,-0.625,0.14023852014768756,0.6821810007095337
cognitive_DAS_75002,109,-1.0,-0.5,0.34057926321581256,0.6760901808738708
cognitive_DAS_75002,110,-0.375,-0.125,-0.1402385201476874,0.38256168365478516
cognitive_DAS_75002,111,-0.375,-0.375,-0.34057926321581256,0.16112525761127472
cognitive_DAS_75002,112,-1.375,-1.0,0.14912846997276505,0.5584359169006348
cognitive_DAS_75002,113,-1.375,-1.0,0.3621691413624293,0.6114526987075806
cognitive_DAS_75002,114,-0.375,-0.5,-0.1491284699727653,0.1833249032497406
cognitive_DAS_75002,115,-0.375,-0.5,-0.36216914136242995,0.34492310881614685
cognitive_DAS_75002,116,-1.5,-1.25,0.1491284699727653,0.42167168855667114
cognitive_DAS_75002,117,-1.5,-1.25,0.3621691413624295,0.48422423005104065
cognitive_DAS_75002,118,-0.75,-0.75,-0.14912846997276535,0.3493804931640625
cognitive_DAS_75002,119,-0.75,-0.75,-0.36216914136242956,0.2987115979194641
cognitive_DAS_75002,120,-2.125,-2.25,0.02464256608969073,0.31786051392555237
cognitive_DAS_75002,121,-2.125,-2.25,0.059846231932105365,0.4321134090423584
cognitive_DAS_75002,122,-2.625,-2.625,-0.02464256608969073,0.4917963147163391
cognitive_DAS_75002,123,-2.625,-2.625,-0.059846231932105365,0.6829612255096436
cognitive_DAS_75002,124,-2.25,-2.125,0.024642566089689844,0.2489943504333496
cognitive_DAS_75002,125,-2.25,-2.25,0.05984623193210492,0.4158591628074646
cognitive_DAS_75002,126,-2.875,-2.875,-0.024642566089690288,0.39844679832458496
cognitive_DAS_75002,127,-2.875,-2.75,-0.059846231932105365,0.6196810007095337
cognitive_DAS_75002,128,-1.375,-0.75,0.26723475457825785,1.3680137395858765
cognitive_DAS_75002,129,-1.375,-0.125,0.6489986896900544,2.637467622756958
cognitive_DAS_75002,130,0.625,-0.125,-0.2672347545782577,1.5277211666107178
cognitive_DAS_75002,131,0.625,-0.125,-0.6489986896900545,1.5559242963790894
cognitive_DAS_75002,132,-1.25,-0.625,0.26723475457825774,1.2910550832748413
cognitive_DAS_75002,133,-1.25,-0.125,0.6489986896900543,2.310300588607788
cognitive_DAS_75002,134,0.25,0.0,-0.26723475457825785,0.37638258934020996
cognitive_DAS_75002,135,0.25,0.0,-0.6489986896900549,0.6536453366279602
cognitive_DAS_75002,136,-0.75,-0.375,0.1431760544952596,0.8484771847724915
cognitive_DAS_75002,137,-0.75,-0.375,0.3477132752027734,0.8541367650032043
cognitive_DAS_75002,138,0.125,-0.125,-0.1431760544952596,0.4461991786956787
cognitive_DAS_75002,139,0.125,-0.25,-0.3477132752027735,0.7235612869262695
cognitive_DAS_75002,140,-2.0,-2.0,0.14317605449525983,0.31101518869400024
cognitive_DAS_75002,141,-2.0,-1.875,0.3477132752027736,0.3695361614227295
cognitive_DAS_75002,142,-1.625,-1.5,-0.14317605449525983,0.11601656675338745
cognitive_DAS_75002,143,-1.625,-1.5,-0.34771327520277384,0.06286358088254929
cognitive_DAS_75003,0,-1.75,-0.5,1.3094168410480993,3.346036911010742
cognitive_DAS_75003,1,-1.0,0.25,1.3094168410480995,3.6676998138427734
cognitive_DAS_75003,3,-2.125,-2.5,0.013290635703760323,0.6637905240058899
cognitive_DAS_75003,4,-2.25,-2.5,0.013290635703760323,0.5280746817588806
cognitive_DAS_75003,5,-2.75,-1.625,1.3094168410480993,2.9793336391448975
cognitive_DAS_75003,6,-2.375,-0.75,1.3094168410481,3.2030656337738037
cognitive_DAS_75003,9,-0.5,0.625,0.8883198576271205,2.6654515266418457
cognitive_DAS_75003,10,-0.625,0.25,0.8883198576271207,1.9425232410430908
cognitive_DAS_75003,11,0.25,1.375,0.9804759762237005,2.4265801906585693
cognitive_DAS_75003,12,-0.375,1.0,1.3094168410480997,3.2567131519317627
cognitive_DAS_75003,13,-0.375,1.125,1.3094168410480997,3.4905548095703125
cognitive_DAS_75003,14,-1.125,0.125,0.8883198576271205,2.6892333030700684
cognitive_DAS_75003,15,-1.375,-0.5,0.8708011878799057,2.264073133468628
cognitive_DAS_75003,16,-1.25,-0.5,0.9804759762236996,1.738706350326538
cognitive_DAS_75003,17,-1.0,-0.125,0.9804759762236998,2.096992254257202
cognitive_DAS_75003,19,-1.125,0.25,1.5157280863495735,2.946244955062866
cognitive_DAS_75003,20,-0.75,0.875,1.515728086349574,3.079612970352173
cognitive_DAS_75003,21,-1.75,-1.25,0.9804759762237003,1.8077385425567627
cognitive_DAS_75003,24,-1.5,-0.875,0.8708011878799056,1.8782674074172974
cognitive_DAS_75003,25,-0.75,0.0,0.8708011878799056,2.0795979499816895
cognitive_DAS_75003,26,-2.0,-1.375,0.7135848250407804,1.6141260862350464
cognitive_DAS_75003,27,-2.375,-2.375,0.013290635703760767,0.053740691393613815
cognitive_DAS_75003,28,-1.375,-0.5,0.8883198576271203,1.9467480182647705
cognitive_DAS_75003,29,-1.25,-0.375,0.8883198576271201,1.747512698173523
cognitive_DAS_75003,30,-0.625,0.5,0.9804759762236999,2.688447952270508
cognitive_DAS_75003,31,-1.25,-1.125,0.013290635703761655,0.2831140458583832
cognitive_DAS_75003,32,-0.75,-0.125,0.7135848250407786,1.6236799955368042
cognitive_DAS_75003,33,-1.875,-1.375,0.013290635703760323,1.2276520729064941
cognitive_DAS_75003,34,-0.5,0.125,0.8708011878799052,2.032071113586426
cognitive_DAS_75003,35,-0.25,0.875,1.3094168410480995,2.6612138748168945
cognitive_DAS_75003,36,-0.25,1.125,1.3094168410480995,3.175687074661255
cognitive_DAS_75003,37,-1.75,-0.875,0.8883198576271212,1.7312217950820923
cognitive_DAS_75003,38,-1.5,-0.625,0.8708011878799056,2.3035831451416016
cognitive_DAS_75003,39,-1.375,0.125,1.515728086349574,3.395084857940674
cognitive_DAS_75003,40,-1.25,0.5,1.515728086349574,3.441627264022827
cognitive_DAS_75003,41,-0.875,-0.125,0.7135848250407786,1.7321562767028809
cognitive_DAS_75003,42,-1.125,-0.375,0.7135848250407784,1.6070265769958496
cognitive_DAS_75003,50,-1.75,-0.75,1.3094168410480997,2.892544984817505
cognitive_DAS_75003,51,-1.75,-0.375,1.3094168410480997,3.2155816555023193
cognitive_DAS_75003,52,-2.0,-1.125,0.8708011878799056,1.8995307683944702
cognitive_DAS_75003,53,-1.25,-0.625,0.8708011878799058,1.8494982719421387
cognitive_DAS_75003,54,-1.5,-1.125,0.7135848250407786,1.7608622312545776
cognitive_DAS_75003,55,-3.375,-2.375,0.8883198576271205,1.7242616415023804
cognitive_DAS_75003,56,-0.875,0.75,1.5157280863495735,3.222083568572998
cognitive_DAS_75003,57,-0.5,1.125,1.515728086349574,3.236453056335449
cognitive_DAS_75003,58,-1.5,-0.625,0.8883198576271205,2.0256292819976807
cognitive_DAS_75003,59,-1.5,-0.75,0.8883198576271204,1.7107042074203491
cognitive_DAS_75003,60,-0.625,0.375,0.8708011878799052,2.701794385910034
cognitive_DAS_75003,61,-1.5,0.375,1.515728086349574,4.177803039550781
cognitive_DAS_75003,62,-1.5,0.625,1.5157280863495737,4.041291236877441
cognitive_DAS_75003,63,-0.625,0.25,0.9804759762236996,2.4755356311798096
cognitive_DAS_75003,65,-0.625,0.375,1.3094168410480995,2.822575807571411
cognitive_DAS_75003,66,0.0,1.125,0.8708011878799052,2.3367838859558105
cognitive_DAS_75003,67,0.375,1.375,0.870801187879905,2.1889495849609375
cognitive_DAS_75003,68,-3.125,-2.125,0.8883198576271201,2.0768771171569824
cognitive_DAS_75003,72,-0.75,0.5,0.8883198576271205,2.694672107696533
cognitive_DAS_75003,73,-0.5,0.375,0.8883198576271203,1.8857817649841309
cognitive_DAS_75003,76,-1.25,-0.75,0.8708011878799052,1.8434767723083496
cognitive_DAS_75003,77,-0.875,-0.375,0.8708011878799053,1.5464191436767578
cognitive_DAS_75003,80,-1.0,-0.375,0.7135848250407784,1.4172548055648804
cognitive_DAS_75003,81,-1.125,-1.125,0.013290635703760767,0.3201428949832916
cognitive_DAS_75003,83,0.5,2.25,1.3094168410480997,3.249929904937744
cognitive_DAS_75003,85,-2.5,-0.875,1.5157280863495735,3.21939754486084
cognitive_DAS_75003,86,-2.0,0.125,1.5157280863495735,4.062753200531006
cognitive_DAS_75003,88,-1.75,-1.0,0.18253894767374312,1.8910553455352783
cognitive_DAS_75003,89,-1.75,-0.75,0.443308872921948,2.394503116607666
cognitive_DAS_75003,90,-0.375,-0.375,-0.18253894767374318,0.46784573793411255
cognitive_DAS_75003,91,-0.375,-0.625,-0.4433088729219476,1.1436344385147095
cognitive_DAS_75003,92,-1.0,-0.375,0.18253894767374312,1.9623807668685913
cognitive_DAS_75003,93,-1.0,-0.125,0.44330887292194787,2.5989620685577393
cognitive_DAS_75003,94,0.25,0.25,-0.1825389476737433,0.4257609248161316
cognitive_DAS_75003,95,0.25,-0.375,-0.44330887292194765,1.2797001600265503
cognitive_DAS_75003,96,-1.125,-0.375,0.17801525314539324,1.384106993675232
cognitive_DAS_75003,97,-1.125,-0.375,0.4323227576388121,1.6046415567398071
cognitive_DAS_75003,98,0.25,-0.25,-0.17801525314539313,0.9826806783676147
cognitive_DAS_75003,99,0.25,-0.375,-0.4323227576388122,1.4444818496704102
cognitive_DAS_75003,100,-1.25,-0.625,0.17801525314539335,1.1729750633239746
cognitive_DAS_75003,101,-1.25,-0.625,0.43232275763881245,1.1829062700271606
cognitive_DAS_75003,102,-0.75,-0.625,-0.17801525314539313,0.2769094407558441
cognitive_DAS_75003,103,-0.75,-0.875,-0.43232275763881134,0.5944836735725403
cognitive_DAS_75003,104,0.25,0.875,0.14023852014768762,1.3954880237579346
cognitive_DAS_75003,105,0.25,1.0,0.34057926321581283,1.6866087913513184
cognitive_DAS_75003,106,1.75,1.625,-0.14023852014768745,0.3525824546813965
cognitive_DAS_75003,107,1.75,1.5,-0.3405792632158128,0.9142287373542786
cognitive_DAS_75003,108,-1.0,-0.375,0.14023852014768756,0.9279854893684387
cognitive_DAS_75003,109,-1.0,-0.375,0.34057926321581256,1.0719159841537476
cognitive_DAS_75003,110,-0.375,-0.125,-0.1402385201476874,0.4520273208618164
cognitive_DAS_75003,111,-0.375,-0.375,-0.34057926321581256,0.6964288353919983
cognitive_DAS_75003,112,-1.375,-0.875,0.14912846997276505,0.9126489162445068
cognitive_DAS_75003,113,-1.375,-0.875,0.3621691413624293,1.0960677862167358
cognitive_DAS_75003,114,-0.375,-0.375,-0.1491284699727653,0.3934481739997864
cognitive_DAS_75003,115,-0.375,-0.625,-0.36216914136242995,0.8802828788757324
cognitive_DAS_75003,116,-1.5,-1.0,0.1491284699727653,1.0253169536590576
cognitive_DAS_75003,117,-1.5,-0.875,0.3621691413624295,1.2408143281936646
cognitive_DAS_75003,118,-0.75,-1.0,-0.14912846997276535,0.7415478825569153
