pair_id,task_family,pair_split,background,pattern,wording,natural_effect,ablated_effect
cf:outcome_history:fresh_contexts:debugging:bg0:pattern1:outcome_history:continue_x,debugging,mech_pair_test,0,1,original,-0.125,0.0
cf:outcome_history:fresh_contexts:debugging:bg0:pattern1:outcome_history:continue_y,debugging,mech_pair_test,0,1,original,-0.375,-0.125
cf:outcome_history:fresh_contexts:debugging:bg1:pattern0:outcome_history:continue_x,debugging,mech_pair_test,1,0,original,0.625,0.0
cf:outcome_history:fresh_contexts:debugging:bg1:pattern0:outcome_history:continue_y,debugging,mech_pair_test,1,0,original,0.5,0.125
cf:outcome_history:fresh_contexts:debugging:bg1:pattern1:outcome_history:continue_x,debugging,mech_pair_test,1,1,original,-0.375,-0.125
cf:outcome_history:fresh_contexts:debugging:bg1:pattern1:outcome_history:continue_y,debugging,mech_pair_test,1,1,original,-0.375,0.125
cf:outcome_history:fresh_contexts:debugging:bg2:pattern0:outcome_history:continue_x,debugging,mech_pair_test,2,0,original,0.5,0.125
cf:outcome_history:fresh_contexts:debugging:bg2:pattern0:outcome_history:continue_y,debugging,mech_pair_test,2,0,original,0.625,0.25
cf:outcome_history:fresh_contexts:debugging:bg2:pattern1:outcome_history:continue_x,debugging,mech_pair_test,2,1,original,0.0,-0.125
cf:outcome_history:fresh_contexts:debugging:bg2:pattern1:outcome_history:continue_y,debugging,mech_pair_test,2,1,original,-0.125,-0.125
cf:outcome_history:fresh_contexts:debugging:bg3:pattern0:outcome_history:continue_x,debugging,mech_pair_test,3,0,original,0.875,-0.125
cf:outcome_history:fresh_contexts:debugging:bg3:pattern0:outcome_history:continue_y,debugging,mech_pair_test,3,0,original,0.5,0.0
cf:outcome_history:fresh_contexts:debugging:bg3:pattern1:outcome_history:continue_x,debugging,mech_pair_test,3,1,original,-0.375,0.0
cf:outcome_history:fresh_contexts:debugging:bg3:pattern1:outcome_history:continue_y,debugging,mech_pair_test,3,1,original,-0.25,0.0
cf:outcome_history:fresh_contexts:effort:bg0:pattern0:outcome_history:continue_x,effort,mech_task_holdout,0,0,original,0.375,0.0
cf:outcome_history:fresh_contexts:effort:bg0:pattern0:outcome_history:continue_y,effort,mech_task_holdout,0,0,original,0.5,0.125
cf:outcome_history:fresh_contexts:effort:bg0:pattern1:outcome_history:continue_x,effort,mech_task_holdout,0,1,original,-0.125,-0.125
cf:outcome_history:fresh_contexts:effort:bg0:pattern1:outcome_history:continue_y,effort,mech_task_holdout,0,1,original,-0.125,0.0
cf:outcome_history:fresh_contexts:effort:bg1:pattern0:outcome_history:continue_x,effort,mech_task_holdout,1,0,original,0.375,0.0
cf:outcome_history:fresh_contexts:effort:bg1:pattern0:outcome_history:continue_y,effort,mech_task_holdout,1,0,original,0.375,0.0
cf:outcome_history:fresh_contexts:effort:bg1:pattern1:outcome_history:continue_x,effort,mech_task_holdout,1,1,original,0.0,-0.125
cf:outcome_history:fresh_contexts:effort:bg1:pattern1:outcome_history:continue_y,effort,mech_task_holdout,1,1,original,-0.25,0.125
cf:outcome_history:fresh_contexts:effort:bg2:pattern0:outcome_history:continue_x,effort,mech_task_holdout,2,0,original,0.375,0.0
cf:outcome_history:fresh_contexts:effort:bg2:pattern0:outcome_history:continue_y,effort,mech_task_holdout,2,0,original,0.5,0.0
cf:outcome_history:fresh_contexts:effort:bg2:pattern1:outcome_history:continue_x,effort,mech_task_holdout,2,1,original,0.0,-0.25
cf:outcome_history:fresh_contexts:effort:bg2:pattern1:outcome_history:continue_y,effort,mech_task_holdout,2,1,original,-0.125,0.25
cf:outcome_history:fresh_contexts:effort:bg3:pattern0:outcome_history:continue_x,effort,mech_task_holdout,3,0,original,0.5,0.0
cf:outcome_history:fresh_contexts:effort:bg3:pattern0:outcome_history:continue_y,effort,mech_task_holdout,3,0,original,0.375,0.0
cf:outcome_history:fresh_contexts:effort:bg3:pattern1:outcome_history:continue_x,effort,mech_task_holdout,3,1,original,-0.125,-0.125
cf:outcome_history:fresh_contexts:effort:bg3:pattern1:outcome_history:continue_y,effort,mech_task_holdout,3,1,original,-0.125,0.125
cf:outcome_history:fresh_contexts:foraging:bg0:pattern0:outcome_history:continue_x,foraging,mech_pair_test,0,0,original,0.5,0.0
cf:outcome_history:fresh_contexts:foraging:bg0:pattern0:outcome_history:continue_y,foraging,mech_pair_test,0,0,original,0.375,-0.125
cf:outcome_history:fresh_contexts:foraging:bg0:pattern1:outcome_history:continue_x,foraging,mech_pair_test,0,1,original,-0.375,0.0
cf:outcome_history:fresh_contexts:foraging:bg0:pattern1:outcome_history:continue_y,foraging,mech_pair_test,0,1,original,-0.25,0.125
cf:outcome_history:fresh_contexts:foraging:bg1:pattern0:outcome_history:continue_x,foraging,mech_pair_test,1,0,original,0.375,0.125
cf:outcome_history:fresh_contexts:foraging:bg1:pattern0:outcome_history:continue_y,foraging,mech_pair_test,1,0,original,0.25,0.125
cf:outcome_history:fresh_contexts:foraging:bg1:pattern1:outcome_history:continue_x,foraging,mech_pair_test,1,1,original,-0.875,-0.25
cf:outcome_history:fresh_contexts:foraging:bg1:pattern1:outcome_history:continue_y,foraging,mech_pair_test,1,1,original,-0.625,-0.125
cf:outcome_history:fresh_contexts:foraging:bg2:pattern0:outcome_history:continue_x,foraging,mech_pair_test,2,0,original,0.25,0.0
cf:outcome_history:fresh_contexts:foraging:bg2:pattern0:outcome_history:continue_y,foraging,mech_pair_test,2,0,original,0.5,0.125
cf:outcome_history:fresh_contexts:foraging:bg2:pattern1:outcome_history:continue_x,foraging,mech_pair_test,2,1,original,-0.125,-0.125
cf:outcome_history:fresh_contexts:foraging:bg2:pattern1:outcome_history:continue_y,foraging,mech_pair_test,2,1,original,-0.125,0.125
cf:outcome_history:fresh_contexts:foraging:bg3:pattern0:outcome_history:continue_x,foraging,mech_pair_test,3,0,original,0.375,0.0
cf:outcome_history:fresh_contexts:foraging:bg3:pattern0:outcome_history:continue_y,foraging,mech_pair_test,3,0,original,0.625,0.0
cf:outcome_history:fresh_contexts:foraging:bg3:pattern1:outcome_history:continue_x,foraging,mech_pair_test,3,1,original,-0.875,-0.5
cf:outcome_history:fresh_contexts:foraging:bg3:pattern1:outcome_history:continue_y,foraging,mech_pair_test,3,1,original,-0.875,-0.25
cf:outcome_history:fresh_contexts:information_sampling:bg0:pattern0:outcome_history:continue_x,information_sampling,mech_task_holdout,0,0,original,0.25,0.0
cf:outcome_history:fresh_contexts:information_sampling:bg0:pattern0:outcome_history:continue_y,information_sampling,mech_task_holdout,0,0,original,0.25,0.0
cf:outcome_history:fresh_contexts:information_sampling:bg0:pattern1:outcome_history:continue_x,information_sampling,mech_task_holdout,0,1,original,-0.25,0.0
cf:outcome_history:fresh_contexts:information_sampling:bg0:pattern1:outcome_history:continue_y,information_sampling,mech_task_holdout,0,1,original,0.0,0.0
cf:outcome_history:fresh_contexts:information_sampling:bg1:pattern0:outcome_history:continue_x,information_sampling,mech_task_holdout,1,0,original,0.125,0.0
cf:outcome_history:fresh_contexts:information_sampling:bg1:pattern0:outcome_history:continue_y,information_sampling,mech_task_holdout,1,0,original,0.25,0.0
cf:outcome_history:fresh_contexts:information_sampling:bg1:pattern1:outcome_history:continue_x,information_sampling,mech_task_holdout,1,1,original,0.0,0.25
cf:outcome_history:fresh_contexts:information_sampling:bg1:pattern1:outcome_history:continue_y,information_sampling,mech_task_holdout,1,1,original,-0.125,0.0
cf:outcome_history:fresh_contexts:information_sampling:bg2:pattern0:outcome_history:continue_x,information_sampling,mech_task_holdout,2,0,original,0.625,0.125
cf:outcome_history:fresh_contexts:information_sampling:bg2:pattern0:outcome_history:continue_y,information_sampling,mech_task_holdout,2,0,original,0.625,0.25
cf:outcome_history:fresh_contexts:information_sampling:bg2:pattern1:outcome_history:continue_x,information_sampling,mech_task_holdout,2,1,original,0.0,-0.125
cf:outcome_history:fresh_contexts:information_sampling:bg2:pattern1:outcome_history:continue_y,information_sampling,mech_task_holdout,2,1,original,0.0,0.0
cf:outcome_history:fresh_contexts:information_sampling:bg3:pattern0:outcome_history:continue_x,information_sampling,mech_task_holdout,3,0,original,0.25,0.125
cf:outcome_history:fresh_contexts:information_sampling:bg3:pattern0:outcome_history:continue_y,information_sampling,mech_task_holdout,3,0,original,0.375,0.0
cf:outcome_history:fresh_contexts:information_sampling:bg3:pattern1:outcome_history:continue_x,information_sampling,mech_task_holdout,3,1,original,0.0,-0.125
cf:outcome_history:fresh_contexts:information_sampling:bg3:pattern1:outcome_history:continue_y,information_sampling,mech_task_holdout,3,1,original,0.0,0.125
cf:outcome_history:fresh_contexts:solvability:bg0:pattern0:outcome_history:continue_x,solvability,mech_pair_test,0,0,original,1.125,0.25
cf:outcome_history:fresh_contexts:solvability:bg0:pattern0:outcome_history:continue_y,solvability,mech_pair_test,0,0,original,1.125,0.25
cf:outcome_history:fresh_contexts:solvability:bg0:pattern1:outcome_history:continue_x,solvability,mech_pair_test,0,1,original,-1.375,-0.625
cf:outcome_history:fresh_contexts:solvability:bg0:pattern1:outcome_history:continue_y,solvability,mech_pair_test,0,1,original,-0.875,-0.25
cf:outcome_history:fresh_contexts:solvability:bg1:pattern0:outcome_history:continue_x,solvability,mech_pair_test,1,0,original,0.625,0.0
cf:outcome_history:fresh_contexts:solvability:bg1:pattern0:outcome_history:continue_y,solvability,mech_pair_test,1,0,original,0.625,0.125
cf:outcome_history:fresh_contexts:solvability:bg1:pattern1:outcome_history:continue_x,solvability,mech_pair_test,1,1,original,-1.0,-0.375
cf:outcome_history:fresh_contexts:solvability:bg1:pattern1:outcome_history:continue_y,solvability,mech_pair_test,1,1,original,-0.5,0.0
cf:outcome_history:fresh_contexts:solvability:bg2:pattern0:outcome_history:continue_x,solvability,mech_pair_test,2,0,original,0.75,0.25
cf:outcome_history:fresh_contexts:solvability:bg2:pattern0:outcome_history:continue_y,solvability,mech_pair_test,2,0,original,0.75,0.0
cf:outcome_history:fresh_contexts:solvability:bg2:pattern1:outcome_history:continue_x,solvability,mech_pair_test,2,1,original,-0.25,-0.125
cf:outcome_history:fresh_contexts:solvability:bg2:pattern1:outcome_history:continue_y,solvability,mech_pair_test,2,1,original,-0.125,0.125
cf:outcome_history:fresh_contexts:solvability:bg3:pattern0:outcome_history:continue_x,solvability,mech_pair_test,3,0,original,1.0,0.375
cf:outcome_history:fresh_contexts:solvability:bg3:pattern0:outcome_history:continue_y,solvability,mech_pair_test,3,0,original,1.25,0.25
cf:outcome_history:fresh_contexts:solvability:bg3:pattern1:outcome_history:continue_x,solvability,mech_pair_test,3,1,original,-1.25,-0.625
cf:outcome_history:fresh_contexts:solvability:bg3:pattern1:outcome_history:continue_y,solvability,mech_pair_test,3,1,original,-1.125,-0.25
cf:outcome_history:fresh_contexts:waiting:bg0:pattern0:outcome_history:continue_x,waiting,mech_task_holdout,0,0,original,0.375,-0.125
cf:outcome_history:fresh_contexts:waiting:bg0:pattern0:outcome_history:continue_y,waiting,mech_task_holdout,0,0,original,0.25,0.0
cf:outcome_history:fresh_contexts:waiting:bg0:pattern1:outcome_history:continue_x,waiting,mech_task_holdout,0,1,original,-0.125,-0.125
cf:outcome_history:fresh_contexts:waiting:bg0:pattern1:outcome_history:continue_y,waiting,mech_task_holdout,0,1,original,-0.125,0.0
cf:outcome_history:fresh_contexts:waiting:bg1:pattern0:outcome_history:continue_x,waiting,mech_task_holdout,1,0,original,0.375,0.0
cf:outcome_history:fresh_contexts:waiting:bg1:pattern0:outcome_history:continue_y,waiting,mech_task_holdout,1,0,original,0.5,0.0
cf:outcome_history:fresh_contexts:waiting:bg1:pattern1:outcome_history:continue_x,waiting,mech_task_holdout,1,1,original,0.125,-0.125
cf:outcome_history:fresh_contexts:waiting:bg1:pattern1:outcome_history:continue_y,waiting,mech_task_holdout,1,1,original,0.125,0.125
cf:outcome_history:fresh_contexts:waiting:bg2:pattern0:outcome_history:continue_x,waiting,mech_task_holdout,2,0,original,0.5,0.0
cf:outcome_history:fresh_contexts:waiting:bg2:pattern0:outcome_history:continue_y,waiting,mech_task_holdout,2,0,original,0.5,-0.125
cf:outcome_history:fresh_contexts:waiting:bg2:pattern1:outcome_history:continue_x,waiting,mech_task_holdout,2,1,original,-0.5,-0.25
cf:outcome_history:fresh_contexts:waiting:bg2:pattern1:outcome_history:continue_y,waiting,mech_task_holdout,2,1,original,-0.5,-0.125
cf:outcome_history:fresh_contexts:waiting:bg3:pattern0:outcome_history:continue_x,waiting,mech_task_holdout,3,0,original,0.375,0.0
cf:outcome_history:fresh_contexts:waiting:bg3:pattern0:outcome_history:continue_y,waiting,mech_task_holdout,3,0,original,0.25,-0.125
cf:outcome_history:fresh_contexts:waiting:bg3:pattern1:outcome_history:continue_x,waiting,mech_task_holdout,3,1,original,-0.25,-0.25
cf:outcome_history:fresh_contexts:waiting:bg3:pattern1:outcome_history:continue_y,waiting,mech_task_holdout,3,1,original,-0.25,0.125
cf:outcome_history:fresh_contexts:bandit:bg0:pattern0:outcome_history:continue_x,bandit,mech_pair_test,0,0,rephrased,0.875,0.5
cf:outcome_history:fresh_contexts:bandit:bg0:pattern0:outcome_history:continue_y,bandit,mech_pair_test,0,0,rephrased,1.125,0.5
cf:outcome_history:fresh_contexts:bandit:bg0:pattern1:outcome_history:continue_x,bandit,mech_pair_test,0,1,rephrased,-0.75,-0.375
cf:outcome_history:fresh_contexts:bandit:bg0:pattern1:outcome_history:continue_y,bandit,mech_pair_test,0,1,rephrased,-1.75,-0.625
cf:outcome_history:fresh_contexts:bandit:bg1:pattern0:outcome_history:continue_x,bandit,mech_pair_test,1,0,rephrased,1.25,0.125
cf:outcome_history:fresh_contexts:bandit:bg1:pattern0:outcome_history:continue_y,bandit,mech_pair_test,1,0,rephrased,1.0,0.625
cf:outcome_history:fresh_contexts:bandit:bg1:pattern1:outcome_history:continue_x,bandit,mech_pair_test,1,1,rephrased,-0.625,-0.125
cf:outcome_history:fresh_contexts:bandit:bg1:pattern1:outcome_history:continue_y,bandit,mech_pair_test,1,1,rephrased,-0.625,-0.375
cf:outcome_history:fresh_contexts:bandit:bg2:pattern0:outcome_history:continue_x,bandit,mech_pair_test,2,0,rephrased,1.125,0.375
cf:outcome_history:fresh_contexts:bandit:bg2:pattern0:outcome_history:continue_y,bandit,mech_pair_test,2,0,rephrased,1.0,0.375
cf:outcome_history:fresh_contexts:bandit:bg2:pattern1:outcome_history:continue_x,bandit,mech_pair_test,2,1,rephrased,-0.375,-0.125
cf:outcome_history:fresh_contexts:bandit:bg2:pattern1:outcome_history:continue_y,bandit,mech_pair_test,2,1,rephrased,-0.75,-0.25
cf:outcome_history:fresh_contexts:bandit:bg3:pattern0:outcome_history:continue_x,bandit,mech_pair_test,3,0,rephrased,0.75,0.25
cf:outcome_history:fresh_contexts:bandit:bg3:pattern0:outcome_history:continue_y,bandit,mech_pair_test,3,0,rephrased,1.0,0.5
cf:outcome_history:fresh_contexts:bandit:bg3:pattern1:outcome_history:continue_x,bandit,mech_pair_test,3,1,rephrased,-0.375,-0.25
cf:outcome_history:fresh_contexts:bandit:bg3:pattern1:outcome_history:continue_y,bandit,mech_pair_test,3,1,rephrased,-1.0,-0.375
cf:outcome_history:fresh_contexts:debugging:bg0:pattern0:outcome_history:continue_x,debugging,mech_pair_test,0,0,rephrased,0.5,0.375
cf:outcome_history:fresh_contexts:debugging:bg0:pattern0:outcome_history:continue_y,debugging,mech_pair_test,0,0,rephrased,0.375,0.0
cf:outcome_history:fresh_contexts:debugging:bg0:pattern1:outcome_history:continue_x,debugging,mech_pair_test,0,1,rephrased,-0.375,-0.125
cf:outcome_history:fresh_contexts:debugging:bg0:pattern1:outcome_history:continue_y,debugging,mech_pair_test,0,1,rephrased,-0.625,-0.25
cf:outcome_history:fresh_contexts:debugging:bg1:pattern0:outcome_history:continue_x,debugging,mech_pair_test,1,0,rephrased,0.5,0.125
cf:outcome_history:fresh_contexts:debugging:bg1:pattern0:outcome_history:continue_y,debugging,mech_pair_test,1,0,rephrased,0.5,0.125
cf:outcome_history:fresh_contexts:debugging:bg1:pattern1:outcome_history:continue_x,debugging,mech_pair_test,1,1,rephrased,-0.5,-0.125
cf:outcome_history:fresh_contexts:debugging:bg1:pattern1:outcome_history:continue_y,debugging,mech_pair_test,1,1,rephrased,-0.75,0.0
cf:outcome_history:fresh_contexts:debugging:bg2:pattern0:outcome_history:continue_x,debugging,mech_pair_test,2,0,rephrased,0.375,0.125
cf:outcome_history:fresh_contexts:debugging:bg2:pattern0:outcome_history:continue_y,debugging,mech_pair_test,2,0,rephrased,0.25,0.125
cf:outcome_history:fresh_contexts:debugging:bg2:pattern1:outcome_history:continue_x,debugging,mech_pair_test,2,1,rephrased,-0.125,-0.25
cf:outcome_history:fresh_contexts:debugging:bg2:pattern1:outcome_history:continue_y,debugging,mech_pair_test,2,1,rephrased,-0.125,0.0
cf:outcome_history:fresh_contexts:debugging:bg3:pattern0:outcome_history:continue_x,debugging,mech_pair_test,3,0,rephrased,0.5,0.25
cf:outcome_history:fresh_contexts:debugging:bg3:pattern0:outcome_history:continue_y,debugging,mech_pair_test,3,0,rephrased,0.25,0.125
cf:outcome_history:fresh_contexts:debugging:bg3:pattern1:outcome_history:continue_x,debugging,mech_pair_test,3,1,rephrased,-0.375,-0.25
cf:outcome_history:fresh_contexts:debugging:bg3:pattern1:outcome_history:continue_y,debugging,mech_pair_test,3,1,rephrased,-0.625,0.0
cf:outcome_history:fresh_contexts:effort:bg0:pattern0:outcome_history:continue_x,effort,mech_task_holdout,0,0,rephrased,0.875,0.375
cf:outcome_history:fresh_contexts:effort:bg0:pattern0:outcome_history:continue_y,effort,mech_task_holdout,0,0,rephrased,0.375,0.25
cf:outcome_history:fresh_contexts:effort:bg0:pattern1:outcome_history:continue_x,effort,mech_task_holdout,0,1,rephrased,0.0,-0.125
cf:outcome_history:fresh_contexts:effort:bg0:pattern1:outcome_history:continue_y,effort,mech_task_holdout,0,1,rephrased,-0.125,0.0
cf:outcome_history:fresh_contexts:effort:bg1:pattern0:outcome_history:continue_x,effort,mech_task_holdout,1,0,rephrased,0.75,0.125
cf:outcome_history:fresh_contexts:effort:bg1:pattern0:outcome_history:continue_y,effort,mech_task_holdout,1,0,rephrased,0.375,0.125
cf:outcome_history:fresh_contexts:effort:bg1:pattern1:outcome_history:continue_x,effort,mech_task_holdout,1,1,rephrased,-0.125,-0.125
cf:outcome_history:fresh_contexts:effort:bg1:pattern1:outcome_history:continue_y,effort,mech_task_holdout,1,1,rephrased,-0.125,-0.125
cf:outcome_history:fresh_contexts:effort:bg2:pattern0:outcome_history:continue_x,effort,mech_task_holdout,2,0,rephrased,0.75,0.25
cf:outcome_history:fresh_contexts:effort:bg2:pattern0:outcome_history:continue_y,effort,mech_task_holdout,2,0,rephrased,0.5,0.375
cf:outcome_history:fresh_contexts:effort:bg2:pattern1:outcome_history:continue_x,effort,mech_task_holdout,2,1,rephrased,-0.25,-0.25
cf:outcome_history:fresh_contexts:effort:bg2:pattern1:outcome_history:continue_y,effort,mech_task_holdout,2,1,rephrased,-0.25,0.0
cf:outcome_history:fresh_contexts:effort:bg3:pattern0:outcome_history:continue_x,effort,mech_task_holdout,3,0,rephrased,0.75,0.25
cf:outcome_history:fresh_contexts:effort:bg3:pattern0:outcome_history:continue_y,effort,mech_task_holdout,3,0,rephrased,0.625,0.25
cf:outcome_history:fresh_contexts:effort:bg3:pattern1:outcome_history:continue_x,effort,mech_task_holdout,3,1,rephrased,-0.125,-0.25
cf:outcome_history:fresh_contexts:effort:bg3:pattern1:outcome_history:continue_y,effort,mech_task_holdout,3,1,rephrased,-0.5,-0.25
cf:outcome_history:fresh_contexts:foraging:bg0:pattern0:outcome_history:continue_x,foraging,mech_pair_test,0,0,rephrased,0.5,0.125
cf:outcome_history:fresh_contexts:foraging:bg0:pattern0:outcome_history:continue_y,foraging,mech_pair_test,0,0,rephrased,0.25,0.25
cf:outcome_history:fresh_contexts:foraging:bg0:pattern1:outcome_history:continue_x,foraging,mech_pair_test,0,1,rephrased,-0.5,-0.125
cf:outcome_history:fresh_contexts:foraging:bg0:pattern1:outcome_history:continue_y,foraging,mech_pair_test,0,1,rephrased,-0.625,-0.25
cf:outcome_history:fresh_contexts:foraging:bg1:pattern0:outcome_history:continue_x,foraging,mech_pair_test,1,0,rephrased,0.625,0.125
cf:outcome_history:fresh_contexts:foraging:bg1:pattern0:outcome_history:continue_y,foraging,mech_pair_test,1,0,rephrased,0.375,0.125
cf:outcome_history:fresh_contexts:foraging:bg1:pattern1:outcome_history:continue_x,foraging,mech_pair_test,1,1,rephrased,-0.625,-0.125
cf:outcome_history:fresh_contexts:foraging:bg1:pattern1:outcome_history:continue_y,foraging,mech_pair_test,1,1,rephrased,-0.875,-0.25
cf:outcome_history:fresh_contexts:foraging:bg2:pattern0:outcome_history:continue_x,foraging,mech_pair_test,2,0,rephrased,0.375,0.125
cf:outcome_history:fresh_contexts:foraging:bg2:pattern0:outcome_history:continue_y,foraging,mech_pair_test,2,0,rephrased,0.125,0.0
cf:outcome_history:fresh_contexts:foraging:bg2:pattern1:outcome_history:continue_x,foraging,mech_pair_test,2,1,rephrased,0.0,0.0
cf:outcome_history:fresh_contexts:foraging:bg2:pattern1:outcome_history:continue_y,foraging,mech_pair_test,2,1,rephrased,-0.125,-0.125
cf:outcome_history:fresh_contexts:foraging:bg3:pattern0:outcome_history:continue_x,foraging,mech_pair_test,3,0,rephrased,0.75,0.375
cf:outcome_history:fresh_contexts:foraging:bg3:pattern0:outcome_history:continue_y,foraging,mech_pair_test,3,0,rephrased,0.5,0.125
cf:outcome_history:fresh_contexts:foraging:bg3:pattern1:outcome_history:continue_x,foraging,mech_pair_test,3,1,rephrased,-0.75,-0.375
cf:outcome_history:fresh_contexts:foraging:bg3:pattern1:outcome_history:continue_y,foraging,mech_pair_test,3,1,rephrased,-0.875,-0.375
cf:outcome_history:fresh_contexts:information_sampling:bg0:pattern0:outcome_history:continue_x,information_sampling,mech_task_holdout,0,0,rephrased,0.375,0.0
cf:outcome_history:fresh_contexts:information_sampling:bg0:pattern0:outcome_history:continue_y,information_sampling,mech_task_holdout,0,0,rephrased,0.0,0.125
cf:outcome_history:fresh_contexts:information_sampling:bg0:pattern1:outcome_history:continue_x,information_sampling,mech_task_holdout,0,1,rephrased,-0.25,-0.125
cf:outcome_history:fresh_contexts:information_sampling:bg0:pattern1:outcome_history:continue_y,information_sampling,mech_task_holdout,0,1,rephrased,-0.125,-0.125
cf:outcome_history:fresh_contexts:information_sampling:bg1:pattern0:outcome_history:continue_x,information_sampling,mech_task_holdout,1,0,rephrased,0.25,0.125
cf:outcome_history:fresh_contexts:information_sampling:bg1:pattern0:outcome_history:continue_y,information_sampling,mech_task_holdout,1,0,rephrased,0.25,0.125
cf:outcome_history:fresh_contexts:information_sampling:bg1:pattern1:outcome_history:continue_x,information_sampling,mech_task_holdout,1,1,rephrased,-0.25,0.0
cf:outcome_history:fresh_contexts:information_sampling:bg1:pattern1:outcome_history:continue_y,information_sampling,mech_task_holdout,1,1,rephrased,0.0,-0.125
cf:outcome_history:fresh_contexts:information_sampling:bg2:pattern0:outcome_history:continue_x,information_sampling,mech_task_holdout,2,0,rephrased,0.875,0.25
cf:outcome_history:fresh_contexts:information_sampling:bg2:pattern0:outcome_history:continue_y,information_sampling,mech_task_holdout,2,0,rephrased,0.5,0.125
cf:outcome_history:fresh_contexts:information_sampling:bg2:pattern1:outcome_history:continue_x,information_sampling,mech_task_holdout,2,1,rephrased,0.0,0.125
cf:outcome_history:fresh_contexts:information_sampling:bg2:pattern1:outcome_history:continue_y,information_sampling,mech_task_holdout,2,1,rephrased,-0.125,0.0
cf:outcome_history:fresh_contexts:information_sampling:bg3:pattern0:outcome_history:continue_x,information_sampling,mech_task_holdout,3,0,rephrased,0.5,0.125
cf:outcome_history:fresh_contexts:information_sampling:bg3:pattern0:outcome_history:continue_y,information_sampling,mech_task_holdout,3,0,rephrased,0.125,-0.125
cf:outcome_history:fresh_contexts:information_sampling:bg3:pattern1:outcome_history:continue_x,information_sampling,mech_task_holdout,3,1,rephrased,-0.125,-0.125
cf:outcome_history:fresh_contexts:information_sampling:bg3:pattern1:outcome_history:continue_y,information_sampling,mech_task_holdout,3,1,rephrased,-0.125,0.0
cf:outcome_history:fresh_contexts:solvability:bg0:pattern0:outcome_history:continue_x,solvability,mech_pair_test,0,0,rephrased,0.625,0.375
cf:outcome_history:fresh_contexts:solvability:bg0:pattern0:outcome_history:continue_y,solvability,mech_pair_test,0,0,rephrased,0.625,0.25
cf:outcome_history:fresh_contexts:solvability:bg0:pattern1:outcome_history:continue_x,solvability,mech_pair_test,0,1,rephrased,-0.75,-0.5
cf:outcome_history:fresh_contexts:solvability:bg0:pattern1:outcome_history:continue_y,solvability,mech_pair_test,0,1,rephrased,-1.0,-0.25
cf:outcome_history:fresh_contexts:solvability:bg1:pattern0:outcome_history:continue_x,solvability,mech_pair_test,1,0,rephrased,0.625,0.25
cf:outcome_history:fresh_contexts:solvability:bg1:pattern0:outcome_history:continue_y,solvability,mech_pair_test,1,0,rephrased,0.625,0.375
cf:outcome_history:fresh_contexts:solvability:bg1:pattern1:outcome_history:continue_x,solvability,mech_pair_test,1,1,rephrased,-0.75,-0.125
