pair_id,contrast_id,target_variable,counterfactual_subtype,scientific_role,base_condition_id,source_condition_id,task_family,response_mapping,pair_split,base_variable,source_variable,variable_delta,source_base_semantically_matched,behavioral_validation_row,background,pattern,phase,predicted_effect,natural_effect
test:cf:outcome_history:fresh_contexts:bandit:bg3:pattern0:outcome_history:continue_y,fresh_contexts:bandit:bg3:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg3:pattern0:outcome_history:member-1-m1,test:fresh_contexts:bandit:bg3:pattern0:outcome_history:member1-m1,bandit,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,3,0,test,0.1682050980909939,0.875
test:cf:outcome_history:fresh_contexts:bandit:bg3:pattern1:outcome_history:continue_x,fresh_contexts:bandit:bg3:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg3:pattern1:outcome_history:member-1-m0,test:fresh_contexts:bandit:bg3:pattern1:outcome_history:member1-m0,bandit,continue_x,mech_pair_test,2.7731,0.6269,-2.1462,True,False,3,1,test,-0.3683691648192777,0.125
test:cf:outcome_history:fresh_contexts:bandit:bg3:pattern1:outcome_history:continue_y,fresh_contexts:bandit:bg3:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:bandit:bg3:pattern1:outcome_history:member-1-m1,test:fresh_contexts:bandit:bg3:pattern1:outcome_history:member1-m1,bandit,continue_y,mech_pair_test,2.7731,0.6269,-2.1462,True,False,3,1,test,-0.3683691648192775,-0.875
test:cf:outcome_history:fresh_contexts:debugging:bg0:pattern0:outcome_history:continue_x,fresh_contexts:debugging:bg0:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg0:pattern0:outcome_history:member-1-m0,test:fresh_contexts:debugging:bg0:pattern0:outcome_history:member1-m0,debugging,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,0,0,test,0.0144110095013507,0.375
test:cf:outcome_history:fresh_contexts:debugging:bg0:pattern0:outcome_history:continue_y,fresh_contexts:debugging:bg0:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg0:pattern0:outcome_history:member-1-m1,test:fresh_contexts:debugging:bg0:pattern0:outcome_history:member1-m1,debugging,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,0,0,test,0.0144110095013507,0.25
test:cf:outcome_history:fresh_contexts:debugging:bg0:pattern1:outcome_history:continue_x,fresh_contexts:debugging:bg0:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg0:pattern1:outcome_history:member-1-m0,test:fresh_contexts:debugging:bg0:pattern1:outcome_history:member1-m0,debugging,continue_x,mech_pair_test,2.7731,0.6269,-2.1462,True,False,0,1,test,-0.0315601108079581,0.125
test:cf:outcome_history:fresh_contexts:debugging:bg0:pattern1:outcome_history:continue_y,fresh_contexts:debugging:bg0:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg0:pattern1:outcome_history:member-1-m1,test:fresh_contexts:debugging:bg0:pattern1:outcome_history:member1-m1,debugging,continue_y,mech_pair_test,2.7731,0.6269,-2.1462,True,False,0,1,test,-0.0315601108079586,-0.25
test:cf:outcome_history:fresh_contexts:debugging:bg1:pattern0:outcome_history:continue_x,fresh_contexts:debugging:bg1:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg1:pattern0:outcome_history:member-1-m0,test:fresh_contexts:debugging:bg1:pattern0:outcome_history:member1-m0,debugging,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,1,0,test,0.0144110095013507,0.25
test:cf:outcome_history:fresh_contexts:debugging:bg1:pattern0:outcome_history:continue_y,fresh_contexts:debugging:bg1:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg1:pattern0:outcome_history:member-1-m1,test:fresh_contexts:debugging:bg1:pattern0:outcome_history:member1-m1,debugging,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,1,0,test,0.0144110095013507,0.125
test:cf:outcome_history:fresh_contexts:debugging:bg1:pattern1:outcome_history:continue_x,fresh_contexts:debugging:bg1:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg1:pattern1:outcome_history:member-1-m0,test:fresh_contexts:debugging:bg1:pattern1:outcome_history:member1-m0,debugging,continue_x,mech_pair_test,2.7731,0.6269,-2.1462,True,False,1,1,test,-0.0315601108079581,0.125
test:cf:outcome_history:fresh_contexts:debugging:bg1:pattern1:outcome_history:continue_y,fresh_contexts:debugging:bg1:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg1:pattern1:outcome_history:member-1-m1,test:fresh_contexts:debugging:bg1:pattern1:outcome_history:member1-m1,debugging,continue_y,mech_pair_test,2.7731,0.6269,-2.1462,True,False,1,1,test,-0.0315601108079581,-0.125
test:cf:outcome_history:fresh_contexts:debugging:bg2:pattern0:outcome_history:continue_x,fresh_contexts:debugging:bg2:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg2:pattern0:outcome_history:member-1-m0,test:fresh_contexts:debugging:bg2:pattern0:outcome_history:member1-m0,debugging,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,2,0,test,0.0144110095013507,0.25
test:cf:outcome_history:fresh_contexts:debugging:bg2:pattern0:outcome_history:continue_y,fresh_contexts:debugging:bg2:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg2:pattern0:outcome_history:member-1-m1,test:fresh_contexts:debugging:bg2:pattern0:outcome_history:member1-m1,debugging,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,2,0,test,0.0144110095013507,0.5
test:cf:outcome_history:fresh_contexts:debugging:bg2:pattern1:outcome_history:continue_x,fresh_contexts:debugging:bg2:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg2:pattern1:outcome_history:member-1-m0,test:fresh_contexts:debugging:bg2:pattern1:outcome_history:member1-m0,debugging,continue_x,mech_pair_test,2.7731,0.6269,-2.1462,True,False,2,1,test,-0.0315601108079581,-0.25
test:cf:outcome_history:fresh_contexts:debugging:bg2:pattern1:outcome_history:continue_y,fresh_contexts:debugging:bg2:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg2:pattern1:outcome_history:member-1-m1,test:fresh_contexts:debugging:bg2:pattern1:outcome_history:member1-m1,debugging,continue_y,mech_pair_test,2.7731,0.6269,-2.1462,True,False,2,1,test,-0.0315601108079581,-0.5
test:cf:outcome_history:fresh_contexts:debugging:bg3:pattern0:outcome_history:continue_x,fresh_contexts:debugging:bg3:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg3:pattern0:outcome_history:member-1-m0,test:fresh_contexts:debugging:bg3:pattern0:outcome_history:member1-m0,debugging,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,3,0,test,0.0144110095013507,0.125
test:cf:outcome_history:fresh_contexts:debugging:bg3:pattern0:outcome_history:continue_y,fresh_contexts:debugging:bg3:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg3:pattern0:outcome_history:member-1-m1,test:fresh_contexts:debugging:bg3:pattern0:outcome_history:member1-m1,debugging,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,3,0,test,0.0144110095013503,0.5
test:cf:outcome_history:fresh_contexts:debugging:bg3:pattern1:outcome_history:continue_x,fresh_contexts:debugging:bg3:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg3:pattern1:outcome_history:member-1-m0,test:fresh_contexts:debugging:bg3:pattern1:outcome_history:member1-m0,debugging,continue_x,mech_pair_test,2.7731,0.6269,-2.1462,True,False,3,1,test,-0.0315601108079581,0.375
test:cf:outcome_history:fresh_contexts:debugging:bg3:pattern1:outcome_history:continue_y,fresh_contexts:debugging:bg3:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:debugging:bg3:pattern1:outcome_history:member-1-m1,test:fresh_contexts:debugging:bg3:pattern1:outcome_history:member1-m1,debugging,continue_y,mech_pair_test,2.7731,0.6269,-2.1462,True,False,3,1,test,-0.0315601108079577,-0.25
test:cf:outcome_history:fresh_contexts:effort:bg0:pattern0:outcome_history:continue_x,fresh_contexts:effort:bg0:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg0:pattern0:outcome_history:member-1-m0,test:fresh_contexts:effort:bg0:pattern0:outcome_history:member1-m0,effort,continue_x,mech_task_holdout,-2.19,-1.21,0.98,True,False,0,0,test,0.1673058543893519,0.375
test:cf:outcome_history:fresh_contexts:effort:bg0:pattern0:outcome_history:continue_y,fresh_contexts:effort:bg0:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg0:pattern0:outcome_history:member-1-m1,test:fresh_contexts:effort:bg0:pattern0:outcome_history:member1-m1,effort,continue_y,mech_task_holdout,-2.19,-1.21,0.98,True,False,0,0,test,0.1673058543893522,0.375
test:cf:outcome_history:fresh_contexts:effort:bg0:pattern1:outcome_history:continue_x,fresh_contexts:effort:bg0:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg0:pattern1:outcome_history:member-1-m0,test:fresh_contexts:effort:bg0:pattern1:outcome_history:member1-m0,effort,continue_x,mech_task_holdout,2.7731,0.6269,-2.1462,True,False,0,1,test,-0.3663998211126813,0.125
test:cf:outcome_history:fresh_contexts:effort:bg0:pattern1:outcome_history:continue_y,fresh_contexts:effort:bg0:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg0:pattern1:outcome_history:member-1-m1,test:fresh_contexts:effort:bg0:pattern1:outcome_history:member1-m1,effort,continue_y,mech_task_holdout,2.7731,0.6269,-2.1462,True,False,0,1,test,-0.3663998211126812,0.125
test:cf:outcome_history:fresh_contexts:effort:bg1:pattern0:outcome_history:continue_x,fresh_contexts:effort:bg1:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg1:pattern0:outcome_history:member-1-m0,test:fresh_contexts:effort:bg1:pattern0:outcome_history:member1-m0,effort,continue_x,mech_task_holdout,-2.19,-1.21,0.98,True,False,1,0,test,0.1673058543893524,0.375
test:cf:outcome_history:fresh_contexts:effort:bg1:pattern0:outcome_history:continue_y,fresh_contexts:effort:bg1:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg1:pattern0:outcome_history:member-1-m1,test:fresh_contexts:effort:bg1:pattern0:outcome_history:member1-m1,effort,continue_y,mech_task_holdout,-2.19,-1.21,0.98,True,False,1,0,test,0.1673058543893519,0.25
test:cf:outcome_history:fresh_contexts:effort:bg1:pattern1:outcome_history:continue_x,fresh_contexts:effort:bg1:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg1:pattern1:outcome_history:member-1-m0,test:fresh_contexts:effort:bg1:pattern1:outcome_history:member1-m0,effort,continue_x,mech_task_holdout,2.7731,0.6269,-2.1462,True,False,1,1,test,-0.3663998211126813,0.0
test:cf:outcome_history:fresh_contexts:effort:bg1:pattern1:outcome_history:continue_y,fresh_contexts:effort:bg1:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg1:pattern1:outcome_history:member-1-m1,test:fresh_contexts:effort:bg1:pattern1:outcome_history:member1-m1,effort,continue_y,mech_task_holdout,2.7731,0.6269,-2.1462,True,False,1,1,test,-0.3663998211126813,-0.125
test:cf:outcome_history:fresh_contexts:effort:bg2:pattern0:outcome_history:continue_x,fresh_contexts:effort:bg2:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg2:pattern0:outcome_history:member-1-m0,test:fresh_contexts:effort:bg2:pattern0:outcome_history:member1-m0,effort,continue_x,mech_task_holdout,-2.19,-1.21,0.98,True,False,2,0,test,0.1673058543893522,0.5
test:cf:outcome_history:fresh_contexts:effort:bg2:pattern0:outcome_history:continue_y,fresh_contexts:effort:bg2:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg2:pattern0:outcome_history:member-1-m1,test:fresh_contexts:effort:bg2:pattern0:outcome_history:member1-m1,effort,continue_y,mech_task_holdout,-2.19,-1.21,0.98,True,False,2,0,test,0.1673058543893522,0.375
test:cf:outcome_history:fresh_contexts:effort:bg2:pattern1:outcome_history:continue_x,fresh_contexts:effort:bg2:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg2:pattern1:outcome_history:member-1-m0,test:fresh_contexts:effort:bg2:pattern1:outcome_history:member1-m0,effort,continue_x,mech_task_holdout,2.7731,0.6269,-2.1462,True,False,2,1,test,-0.3663998211126812,-0.625
test:cf:outcome_history:fresh_contexts:effort:bg2:pattern1:outcome_history:continue_y,fresh_contexts:effort:bg2:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg2:pattern1:outcome_history:member-1-m1,test:fresh_contexts:effort:bg2:pattern1:outcome_history:member1-m1,effort,continue_y,mech_task_holdout,2.7731,0.6269,-2.1462,True,False,2,1,test,-0.3663998211126814,-0.375
test:cf:outcome_history:fresh_contexts:effort:bg3:pattern0:outcome_history:continue_x,fresh_contexts:effort:bg3:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg3:pattern0:outcome_history:member-1-m0,test:fresh_contexts:effort:bg3:pattern0:outcome_history:member1-m0,effort,continue_x,mech_task_holdout,-2.19,-1.21,0.98,True,False,3,0,test,0.1673058543893524,0.25
test:cf:outcome_history:fresh_contexts:effort:bg3:pattern0:outcome_history:continue_y,fresh_contexts:effort:bg3:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg3:pattern0:outcome_history:member-1-m1,test:fresh_contexts:effort:bg3:pattern0:outcome_history:member1-m1,effort,continue_y,mech_task_holdout,-2.19,-1.21,0.98,True,False,3,0,test,0.1673058543893519,0.25
test:cf:outcome_history:fresh_contexts:effort:bg3:pattern1:outcome_history:continue_x,fresh_contexts:effort:bg3:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg3:pattern1:outcome_history:member-1-m0,test:fresh_contexts:effort:bg3:pattern1:outcome_history:member1-m0,effort,continue_x,mech_task_holdout,2.7731,0.6269,-2.1462,True,False,3,1,test,-0.3663998211126813,-0.375
test:cf:outcome_history:fresh_contexts:effort:bg3:pattern1:outcome_history:continue_y,fresh_contexts:effort:bg3:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:effort:bg3:pattern1:outcome_history:member-1-m1,test:fresh_contexts:effort:bg3:pattern1:outcome_history:member1-m1,effort,continue_y,mech_task_holdout,2.7731,0.6269,-2.1462,True,False,3,1,test,-0.3663998211126813,-0.125
test:cf:outcome_history:fresh_contexts:foraging:bg0:pattern0:outcome_history:continue_x,fresh_contexts:foraging:bg0:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg0:pattern0:outcome_history:member-1-m0,test:fresh_contexts:foraging:bg0:pattern0:outcome_history:member1-m0,foraging,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,0,0,test,0.115115814300619,0.0
test:cf:outcome_history:fresh_contexts:foraging:bg0:pattern0:outcome_history:continue_y,fresh_contexts:foraging:bg0:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg0:pattern0:outcome_history:member-1-m1,test:fresh_contexts:foraging:bg0:pattern0:outcome_history:member1-m1,foraging,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,0,0,test,0.1151158143006192,0.5
test:cf:outcome_history:fresh_contexts:foraging:bg0:pattern1:outcome_history:continue_x,fresh_contexts:foraging:bg0:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg0:pattern1:outcome_history:member-1-m0,test:fresh_contexts:foraging:bg0:pattern1:outcome_history:member1-m0,foraging,continue_x,mech_pair_test,2.7731,0.6269,-2.1462,True,False,0,1,test,-0.2521036333183557,-0.375
test:cf:outcome_history:fresh_contexts:foraging:bg0:pattern1:outcome_history:continue_y,fresh_contexts:foraging:bg0:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg0:pattern1:outcome_history:member-1-m1,test:fresh_contexts:foraging:bg0:pattern1:outcome_history:member1-m1,foraging,continue_y,mech_pair_test,2.7731,0.6269,-2.1462,True,False,0,1,test,-0.2521036333183557,-0.25
test:cf:outcome_history:fresh_contexts:foraging:bg1:pattern0:outcome_history:continue_x,fresh_contexts:foraging:bg1:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg1:pattern0:outcome_history:member-1-m0,test:fresh_contexts:foraging:bg1:pattern0:outcome_history:member1-m0,foraging,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,1,0,test,0.1151158143006187,0.375
test:cf:outcome_history:fresh_contexts:foraging:bg1:pattern0:outcome_history:continue_y,fresh_contexts:foraging:bg1:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg1:pattern0:outcome_history:member-1-m1,test:fresh_contexts:foraging:bg1:pattern0:outcome_history:member1-m1,foraging,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,1,0,test,0.1151158143006187,0.25
test:cf:outcome_history:fresh_contexts:foraging:bg1:pattern1:outcome_history:continue_x,fresh_contexts:foraging:bg1:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg1:pattern1:outcome_history:member-1-m0,test:fresh_contexts:foraging:bg1:pattern1:outcome_history:member1-m0,foraging,continue_x,mech_pair_test,2.7731,0.6269,-2.1462,True,False,1,1,test,-0.2521036333183553,-0.75
test:cf:outcome_history:fresh_contexts:foraging:bg1:pattern1:outcome_history:continue_y,fresh_contexts:foraging:bg1:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg1:pattern1:outcome_history:member-1-m1,test:fresh_contexts:foraging:bg1:pattern1:outcome_history:member1-m1,foraging,continue_y,mech_pair_test,2.7731,0.6269,-2.1462,True,False,1,1,test,-0.2521036333183559,-1.0
test:cf:outcome_history:fresh_contexts:foraging:bg2:pattern0:outcome_history:continue_x,fresh_contexts:foraging:bg2:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg2:pattern0:outcome_history:member-1-m0,test:fresh_contexts:foraging:bg2:pattern0:outcome_history:member1-m0,foraging,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,2,0,test,0.115115814300619,0.25
test:cf:outcome_history:fresh_contexts:foraging:bg2:pattern0:outcome_history:continue_y,fresh_contexts:foraging:bg2:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg2:pattern0:outcome_history:member-1-m1,test:fresh_contexts:foraging:bg2:pattern0:outcome_history:member1-m1,foraging,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,2,0,test,0.115115814300619,0.5
test:cf:outcome_history:fresh_contexts:foraging:bg2:pattern1:outcome_history:continue_x,fresh_contexts:foraging:bg2:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg2:pattern1:outcome_history:member-1-m0,test:fresh_contexts:foraging:bg2:pattern1:outcome_history:member1-m0,foraging,continue_x,mech_pair_test,2.7731,0.6269,-2.1462,True,False,2,1,test,-0.2521036333183557,-0.375
test:cf:outcome_history:fresh_contexts:foraging:bg2:pattern1:outcome_history:continue_y,fresh_contexts:foraging:bg2:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg2:pattern1:outcome_history:member-1-m1,test:fresh_contexts:foraging:bg2:pattern1:outcome_history:member1-m1,foraging,continue_y,mech_pair_test,2.7731,0.6269,-2.1462,True,False,2,1,test,-0.2521036333183558,-0.25
test:cf:outcome_history:fresh_contexts:foraging:bg3:pattern0:outcome_history:continue_x,fresh_contexts:foraging:bg3:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg3:pattern0:outcome_history:member-1-m0,test:fresh_contexts:foraging:bg3:pattern0:outcome_history:member1-m0,foraging,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,3,0,test,0.1151158143006192,0.375
test:cf:outcome_history:fresh_contexts:foraging:bg3:pattern0:outcome_history:continue_y,fresh_contexts:foraging:bg3:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg3:pattern0:outcome_history:member-1-m1,test:fresh_contexts:foraging:bg3:pattern0:outcome_history:member1-m1,foraging,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,3,0,test,0.1151158143006192,0.0
test:cf:outcome_history:fresh_contexts:foraging:bg3:pattern1:outcome_history:continue_x,fresh_contexts:foraging:bg3:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg3:pattern1:outcome_history:member-1-m0,test:fresh_contexts:foraging:bg3:pattern1:outcome_history:member1-m0,foraging,continue_x,mech_pair_test,2.7731,0.6269,-2.1462,True,False,3,1,test,-0.2521036333183557,-0.125
test:cf:outcome_history:fresh_contexts:foraging:bg3:pattern1:outcome_history:continue_y,fresh_contexts:foraging:bg3:pattern1:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:foraging:bg3:pattern1:outcome_history:member-1-m1,test:fresh_contexts:foraging:bg3:pattern1:outcome_history:member1-m1,foraging,continue_y,mech_pair_test,2.7731,0.6269,-2.1462,True,False,3,1,test,-0.2521036333183559,0.0
test:cf:outcome_history:fresh_contexts:information_sampling:bg0:pattern0:outcome_history:continue_x,fresh_contexts:information_sampling:bg0:pattern0:outcome_history,outcome_history,history_isolated,primary,test:fresh_contexts:information_sampling:bg0:pattern0:outcome_history:member-1-m0,test:fresh_contexts:information_sampling:bg0:pattern0:outcome_history:member1-m0,information_sampling,continue_x,mech_task_holdout,-2.19,-1.21,0.98,True,False,0,0,test,0.0532403379242294,0.125
