architecture,parameter,descriptor,coefficient
dual_history,factor_environmental_stability,explicit_progress,0.017132084222437734
dual_history,factor_environmental_stability,reward_stationarity,-0.026642316703854717
dual_history,factor_environmental_stability,absorbing_disengagement,-0.005471231851431061
dual_history,factor_environmental_stability,effort_accumulation,-0.004964706591519227
dual_history,factor_environmental_stability__available,outcome_dependence,0.0
dual_history,factor_environmental_stability__available,evidence_accumulation,0.0
dual_history,factor_environmental_stability__available,explicit_progress,0.0
dual_history,factor_environmental_stability__available,reward_stationarity,0.0
dual_history,factor_environmental_stability__available,absorbing_disengagement,0.0
dual_history,factor_environmental_stability__available,effort_accumulation,0.0
dual_history,factor_goal_continuity,outcome_dependence,0.01567710314190356
dual_history,factor_goal_continuity,evidence_accumulation,0.01580161122893195
dual_history,factor_goal_continuity,explicit_progress,0.005999345206139194
dual_history,factor_goal_continuity,reward_stationarity,0.008261035312612379
dual_history,factor_goal_continuity,absorbing_disengagement,-0.008656205132595714
dual_history,factor_goal_continuity,effort_accumulation,-0.008027427880556715
dual_history,factor_goal_continuity__available,outcome_dependence,0.0
dual_history,factor_goal_continuity__available,evidence_accumulation,0.0
dual_history,factor_goal_continuity__available,explicit_progress,0.0
dual_history,factor_goal_continuity__available,reward_stationarity,0.0
dual_history,factor_goal_continuity__available,absorbing_disengagement,0.0
dual_history,factor_goal_continuity__available,effort_accumulation,0.0
dual_history,history_action_1,outcome_dependence,0.02095524698369081
dual_history,history_action_1,evidence_accumulation,0.0012547362165668482
dual_history,history_action_1,explicit_progress,0.005828589653977836
dual_history,history_action_1,reward_stationarity,0.005961309665037506
dual_history,history_action_1,absorbing_disengagement,-0.01208874728297821
dual_history,history_action_1,effort_accumulation,-0.00568464704473767
dual_history,history_action_1__available,outcome_dependence,-0.005398787524404262
dual_history,history_action_1__available,evidence_accumulation,-0.008939880600744026
dual_history,history_action_1__available,explicit_progress,0.0033813296724001366
dual_history,history_action_1__available,reward_stationarity,-0.008535759018254832
dual_history,history_action_1__available,absorbing_disengagement,-0.0022191210178880735
dual_history,history_action_1__available,effort_accumulation,-0.012929319122012803
dual_history,history_action_kernel,outcome_dependence,-0.03698622545388461
dual_history,history_action_kernel,evidence_accumulation,0.0042501683394345
dual_history,history_action_kernel,explicit_progress,-0.029632066815190972
dual_history,history_action_kernel,reward_stationarity,-0.01706116941549247
dual_history,history_action_kernel,absorbing_disengagement,0.0024591633270500055
dual_history,history_action_kernel,effort_accumulation,0.023310819223740533
dual_history,history_action_kernel__available,outcome_dependence,-0.00539878752440419
dual_history,history_action_kernel__available,evidence_accumulation,-0.008939880600744049
dual_history,history_action_kernel__available,explicit_progress,0.003381329672400161
dual_history,history_action_kernel__available,reward_stationarity,-0.008535759018255174
dual_history,history_action_kernel__available,absorbing_disengagement,-0.0022191210178880536
dual_history,history_action_kernel__available,effort_accumulation,-0.012929319122012842
dual_history,history_outcome_1,outcome_dependence,0.0348227185207576
dual_history,history_outcome_1,evidence_accumulation,-0.01713073554516454
dual_history,history_outcome_1,explicit_progress,0.012421856572027802
dual_history,history_outcome_1,reward_stationarity,0.006450213593202478
dual_history,history_outcome_1,absorbing_disengagement,-0.029933461568276445
dual_history,history_outcome_1,effort_accumulation,-0.014951786052870501
dual_history,history_outcome_1__available,outcome_dependence,-0.005398787524404348
dual_history,history_outcome_1__available,evidence_accumulation,-0.008939880600744132
dual_history,history_outcome_1__available,explicit_progress,0.003381329672400161
dual_history,history_outcome_1__available,reward_stationarity,-0.008535759018255143
dual_history,history_outcome_1__available,absorbing_disengagement,-0.002219121017888093
dual_history,history_outcome_1__available,effort_accumulation,-0.012929319122012992
dual_history,history_outcome_kernel,outcome_dependence,0.05437126445552928
dual_history,history_outcome_kernel,evidence_accumulation,0.01802057809620354
dual_history,history_outcome_kernel,explicit_progress,0.050473228040095935
dual_history,history_outcome_kernel,reward_stationarity,0.0007609762864121005
dual_history,history_outcome_kernel,absorbing_disengagement,-0.012660778826756175
dual_history,history_outcome_kernel,effort_accumulation,-0.023773081001936765
dual_history,history_outcome_kernel__available,outcome_dependence,-0.005398787524404352
dual_history,history_outcome_kernel__available,evidence_accumulation,-0.008939880600744127
dual_history,history_outcome_kernel__available,explicit_progress,0.003381329672400169
dual_history,history_outcome_kernel__available,reward_stationarity,-0.008535759018255084
dual_history,history_outcome_kernel__available,absorbing_disengagement,-0.00221912101788809
dual_history,history_outcome_kernel__available,effort_accumulation,-0.012929319122012973
dual_history,response_mapping,outcome_dependence,-0.016996268181676294
dual_history,response_mapping,evidence_accumulation,0.00699431946208362
dual_history,response_mapping,explicit_progress,0.06192965182694641
dual_history,response_mapping,reward_stationarity,-0.03021718272619595
dual_history,response_mapping,absorbing_disengagement,-0.020301981937898055
dual_history,response_mapping,effort_accumulation,-0.01844353694283657
dual_history,response_mapping__available,outcome_dependence,0.0
dual_history,response_mapping__available,evidence_accumulation,0.0
dual_history,response_mapping__available,explicit_progress,0.0
dual_history,response_mapping__available,reward_stationarity,0.0
dual_history,response_mapping__available,absorbing_disengagement,0.0
dual_history,response_mapping__available,effort_accumulation,0.0
