pair_id,contrast_id,target_variable,counterfactual_subtype,scientific_role,base_condition_id,source_condition_id,task_family,response_mapping,pair_split,base_variable,source_variable,variable_delta,source_base_semantically_matched,behavioral_validation_row,background,pattern
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern1:contextual_history:continue_x,fresh_contexts:bandit:bg1:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg1:pattern1:contextual_history:member-1-m0,fresh_contexts:bandit:bg1:pattern1:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,1,1
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern1:contextual_history:continue_y,fresh_contexts:bandit:bg1:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg1:pattern1:contextual_history:member-1-m1,fresh_contexts:bandit:bg1:pattern1:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,1,1
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern2:contextual_history:continue_x,fresh_contexts:bandit:bg1:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg1:pattern2:contextual_history:member-1-m0,fresh_contexts:bandit:bg1:pattern2:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,1,2
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern2:contextual_history:continue_y,fresh_contexts:bandit:bg1:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg1:pattern2:contextual_history:member-1-m1,fresh_contexts:bandit:bg1:pattern2:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,1,2
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern3:contextual_history:continue_x,fresh_contexts:bandit:bg1:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg1:pattern3:contextual_history:member-1-m0,fresh_contexts:bandit:bg1:pattern3:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,2.7731,0.73421,-2.03889,True,False,1,3
cf:contextual_outcome_history:fresh_contexts:bandit:bg1:pattern3:contextual_history:continue_y,fresh_contexts:bandit:bg1:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg1:pattern3:contextual_history:member-1-m1,fresh_contexts:bandit:bg1:pattern3:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,2.7731,0.73421,-2.03889,True,False,1,3
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern0:contextual_history:continue_x,fresh_contexts:bandit:bg2:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg2:pattern0:contextual_history:member-1-m0,fresh_contexts:bandit:bg2:pattern0:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,2,0
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern0:contextual_history:continue_y,fresh_contexts:bandit:bg2:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg2:pattern0:contextual_history:member-1-m1,fresh_contexts:bandit:bg2:pattern0:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,2,0
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern1:contextual_history:continue_x,fresh_contexts:bandit:bg2:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg2:pattern1:contextual_history:member-1-m0,fresh_contexts:bandit:bg2:pattern1:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,2,1
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern1:contextual_history:continue_y,fresh_contexts:bandit:bg2:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg2:pattern1:contextual_history:member-1-m1,fresh_contexts:bandit:bg2:pattern1:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,2,1
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern2:contextual_history:continue_x,fresh_contexts:bandit:bg2:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg2:pattern2:contextual_history:member-1-m0,fresh_contexts:bandit:bg2:pattern2:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,2,2
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern2:contextual_history:continue_y,fresh_contexts:bandit:bg2:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg2:pattern2:contextual_history:member-1-m1,fresh_contexts:bandit:bg2:pattern2:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,2,2
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern3:contextual_history:continue_x,fresh_contexts:bandit:bg2:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg2:pattern3:contextual_history:member-1-m0,fresh_contexts:bandit:bg2:pattern3:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,2.7731,0.73421,-2.03889,True,False,2,3
cf:contextual_outcome_history:fresh_contexts:bandit:bg2:pattern3:contextual_history:continue_y,fresh_contexts:bandit:bg2:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg2:pattern3:contextual_history:member-1-m1,fresh_contexts:bandit:bg2:pattern3:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,2.7731,0.73421,-2.03889,True,False,2,3
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern0:contextual_history:continue_x,fresh_contexts:bandit:bg3:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg3:pattern0:contextual_history:member-1-m0,fresh_contexts:bandit:bg3:pattern0:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,3,0
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern0:contextual_history:continue_y,fresh_contexts:bandit:bg3:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg3:pattern0:contextual_history:member-1-m1,fresh_contexts:bandit:bg3:pattern0:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,3,0
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern1:contextual_history:continue_x,fresh_contexts:bandit:bg3:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg3:pattern1:contextual_history:member-1-m0,fresh_contexts:bandit:bg3:pattern1:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,3,1
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern1:contextual_history:continue_y,fresh_contexts:bandit:bg3:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg3:pattern1:contextual_history:member-1-m1,fresh_contexts:bandit:bg3:pattern1:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,3,1
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern2:contextual_history:continue_x,fresh_contexts:bandit:bg3:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg3:pattern2:contextual_history:member-1-m0,fresh_contexts:bandit:bg3:pattern2:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,3,2
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern2:contextual_history:continue_y,fresh_contexts:bandit:bg3:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg3:pattern2:contextual_history:member-1-m1,fresh_contexts:bandit:bg3:pattern2:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,3,2
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern3:contextual_history:continue_x,fresh_contexts:bandit:bg3:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg3:pattern3:contextual_history:member-1-m0,fresh_contexts:bandit:bg3:pattern3:contextual_history:member1-m0,bandit,continue_x,mech_pair_test,2.7731,0.73421,-2.03889,True,False,3,3
cf:contextual_outcome_history:fresh_contexts:bandit:bg3:pattern3:contextual_history:continue_y,fresh_contexts:bandit:bg3:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:bandit:bg3:pattern3:contextual_history:member-1-m1,fresh_contexts:bandit:bg3:pattern3:contextual_history:member1-m1,bandit,continue_y,mech_pair_test,2.7731,0.73421,-2.03889,True,False,3,3
cf:contextual_outcome_history:fresh_contexts:debugging:bg0:pattern0:contextual_history:continue_x,fresh_contexts:debugging:bg0:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg0:pattern0:contextual_history:member-1-m0,fresh_contexts:debugging:bg0:pattern0:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,0,0
cf:contextual_outcome_history:fresh_contexts:debugging:bg0:pattern0:contextual_history:continue_y,fresh_contexts:debugging:bg0:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg0:pattern0:contextual_history:member-1-m1,fresh_contexts:debugging:bg0:pattern0:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,0,0
cf:contextual_outcome_history:fresh_contexts:debugging:bg0:pattern1:contextual_history:continue_x,fresh_contexts:debugging:bg0:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg0:pattern1:contextual_history:member-1-m0,fresh_contexts:debugging:bg0:pattern1:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,0,1
cf:contextual_outcome_history:fresh_contexts:debugging:bg0:pattern1:contextual_history:continue_y,fresh_contexts:debugging:bg0:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg0:pattern1:contextual_history:member-1-m1,fresh_contexts:debugging:bg0:pattern1:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,0,1
cf:contextual_outcome_history:fresh_contexts:debugging:bg0:pattern2:contextual_history:continue_x,fresh_contexts:debugging:bg0:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg0:pattern2:contextual_history:member-1-m0,fresh_contexts:debugging:bg0:pattern2:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,0,2
cf:contextual_outcome_history:fresh_contexts:debugging:bg0:pattern2:contextual_history:continue_y,fresh_contexts:debugging:bg0:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg0:pattern2:contextual_history:member-1-m1,fresh_contexts:debugging:bg0:pattern2:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,0,2
cf:contextual_outcome_history:fresh_contexts:debugging:bg0:pattern3:contextual_history:continue_x,fresh_contexts:debugging:bg0:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg0:pattern3:contextual_history:member-1-m0,fresh_contexts:debugging:bg0:pattern3:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,2.7731,0.73421,-2.03889,True,False,0,3
cf:contextual_outcome_history:fresh_contexts:debugging:bg0:pattern3:contextual_history:continue_y,fresh_contexts:debugging:bg0:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg0:pattern3:contextual_history:member-1-m1,fresh_contexts:debugging:bg0:pattern3:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,2.7731,0.73421,-2.03889,True,False,0,3
cf:contextual_outcome_history:fresh_contexts:debugging:bg1:pattern0:contextual_history:continue_x,fresh_contexts:debugging:bg1:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg1:pattern0:contextual_history:member-1-m0,fresh_contexts:debugging:bg1:pattern0:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,1,0
cf:contextual_outcome_history:fresh_contexts:debugging:bg1:pattern0:contextual_history:continue_y,fresh_contexts:debugging:bg1:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg1:pattern0:contextual_history:member-1-m1,fresh_contexts:debugging:bg1:pattern0:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,1,0
cf:contextual_outcome_history:fresh_contexts:debugging:bg1:pattern1:contextual_history:continue_x,fresh_contexts:debugging:bg1:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg1:pattern1:contextual_history:member-1-m0,fresh_contexts:debugging:bg1:pattern1:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,1,1
cf:contextual_outcome_history:fresh_contexts:debugging:bg1:pattern1:contextual_history:continue_y,fresh_contexts:debugging:bg1:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg1:pattern1:contextual_history:member-1-m1,fresh_contexts:debugging:bg1:pattern1:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,1,1
cf:contextual_outcome_history:fresh_contexts:debugging:bg1:pattern2:contextual_history:continue_x,fresh_contexts:debugging:bg1:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg1:pattern2:contextual_history:member-1-m0,fresh_contexts:debugging:bg1:pattern2:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,1,2
cf:contextual_outcome_history:fresh_contexts:debugging:bg1:pattern2:contextual_history:continue_y,fresh_contexts:debugging:bg1:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg1:pattern2:contextual_history:member-1-m1,fresh_contexts:debugging:bg1:pattern2:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,1,2
cf:contextual_outcome_history:fresh_contexts:debugging:bg1:pattern3:contextual_history:continue_x,fresh_contexts:debugging:bg1:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg1:pattern3:contextual_history:member-1-m0,fresh_contexts:debugging:bg1:pattern3:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,2.7731,0.73421,-2.03889,True,False,1,3
cf:contextual_outcome_history:fresh_contexts:debugging:bg1:pattern3:contextual_history:continue_y,fresh_contexts:debugging:bg1:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg1:pattern3:contextual_history:member-1-m1,fresh_contexts:debugging:bg1:pattern3:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,2.7731,0.73421,-2.03889,True,False,1,3
cf:contextual_outcome_history:fresh_contexts:debugging:bg2:pattern0:contextual_history:continue_x,fresh_contexts:debugging:bg2:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg2:pattern0:contextual_history:member-1-m0,fresh_contexts:debugging:bg2:pattern0:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,2,0
cf:contextual_outcome_history:fresh_contexts:debugging:bg2:pattern0:contextual_history:continue_y,fresh_contexts:debugging:bg2:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg2:pattern0:contextual_history:member-1-m1,fresh_contexts:debugging:bg2:pattern0:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,2,0
cf:contextual_outcome_history:fresh_contexts:debugging:bg2:pattern1:contextual_history:continue_x,fresh_contexts:debugging:bg2:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg2:pattern1:contextual_history:member-1-m0,fresh_contexts:debugging:bg2:pattern1:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,2,1
cf:contextual_outcome_history:fresh_contexts:debugging:bg2:pattern1:contextual_history:continue_y,fresh_contexts:debugging:bg2:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg2:pattern1:contextual_history:member-1-m1,fresh_contexts:debugging:bg2:pattern1:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,2,1
cf:contextual_outcome_history:fresh_contexts:debugging:bg2:pattern2:contextual_history:continue_x,fresh_contexts:debugging:bg2:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg2:pattern2:contextual_history:member-1-m0,fresh_contexts:debugging:bg2:pattern2:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,2,2
cf:contextual_outcome_history:fresh_contexts:debugging:bg2:pattern2:contextual_history:continue_y,fresh_contexts:debugging:bg2:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg2:pattern2:contextual_history:member-1-m1,fresh_contexts:debugging:bg2:pattern2:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,2,2
cf:contextual_outcome_history:fresh_contexts:debugging:bg2:pattern3:contextual_history:continue_x,fresh_contexts:debugging:bg2:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg2:pattern3:contextual_history:member-1-m0,fresh_contexts:debugging:bg2:pattern3:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,2.7731,0.73421,-2.03889,True,False,2,3
cf:contextual_outcome_history:fresh_contexts:debugging:bg2:pattern3:contextual_history:continue_y,fresh_contexts:debugging:bg2:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg2:pattern3:contextual_history:member-1-m1,fresh_contexts:debugging:bg2:pattern3:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,2.7731,0.73421,-2.03889,True,False,2,3
cf:contextual_outcome_history:fresh_contexts:debugging:bg3:pattern0:contextual_history:continue_x,fresh_contexts:debugging:bg3:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg3:pattern0:contextual_history:member-1-m0,fresh_contexts:debugging:bg3:pattern0:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,3,0
cf:contextual_outcome_history:fresh_contexts:debugging:bg3:pattern0:contextual_history:continue_y,fresh_contexts:debugging:bg3:pattern0:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg3:pattern0:contextual_history:member-1-m1,fresh_contexts:debugging:bg3:pattern0:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,-2.19,-1.2590000000000001,0.9309999999999998,True,False,3,0
cf:contextual_outcome_history:fresh_contexts:debugging:bg3:pattern1:contextual_history:continue_x,fresh_contexts:debugging:bg3:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg3:pattern1:contextual_history:member-1-m0,fresh_contexts:debugging:bg3:pattern1:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,3,1
cf:contextual_outcome_history:fresh_contexts:debugging:bg3:pattern1:contextual_history:continue_y,fresh_contexts:debugging:bg3:pattern1:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg3:pattern1:contextual_history:member-1-m1,fresh_contexts:debugging:bg3:pattern1:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,2.19,-0.07099999999999979,-2.2609999999999997,True,False,3,1
cf:contextual_outcome_history:fresh_contexts:debugging:bg3:pattern2:contextual_history:continue_x,fresh_contexts:debugging:bg3:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg3:pattern2:contextual_history:member-1-m0,fresh_contexts:debugging:bg3:pattern2:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,3,2
cf:contextual_outcome_history:fresh_contexts:debugging:bg3:pattern2:contextual_history:continue_y,fresh_contexts:debugging:bg3:pattern2:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg3:pattern2:contextual_history:member-1-m1,fresh_contexts:debugging:bg3:pattern2:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,-2.7731,-1.66521,1.1078899999999998,True,False,3,2
cf:contextual_outcome_history:fresh_contexts:debugging:bg3:pattern3:contextual_history:continue_x,fresh_contexts:debugging:bg3:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg3:pattern3:contextual_history:member-1-m0,fresh_contexts:debugging:bg3:pattern3:contextual_history:member1-m0,debugging,continue_x,mech_pair_test,2.7731,0.73421,-2.03889,True,False,3,3
cf:contextual_outcome_history:fresh_contexts:debugging:bg3:pattern3:contextual_history:continue_y,fresh_contexts:debugging:bg3:pattern3:contextual_history,contextual_outcome_history,context_isolated,primary,fresh_contexts:debugging:bg3:pattern3:contextual_history:member-1-m1,fresh_contexts:debugging:bg3:pattern3:contextual_history:member1-m1,debugging,continue_y,mech_pair_test,2.7731,0.73421,-2.03889,True,False,3,3
cf:contextual_outcome_history:fresh_contexts:effort:bg0:pattern0:outcome_history:continue_x,fresh_contexts:effort:bg0:pattern0:outcome_history,contextual_outcome_history,heldout_broad_history,primary,fresh_contexts:effort:bg0:pattern0:outcome_history:member-1-m0,fresh_contexts:effort:bg0:pattern0:outcome_history:member1-m0,effort,continue_x,mech_task_holdout,-2.19,-1.21,0.98,True,False,0,0
cf:contextual_outcome_history:fresh_contexts:effort:bg0:pattern0:outcome_history:continue_y,fresh_contexts:effort:bg0:pattern0:outcome_history,contextual_outcome_history,heldout_broad_history,primary,fresh_contexts:effort:bg0:pattern0:outcome_history:member-1-m1,fresh_contexts:effort:bg0:pattern0:outcome_history:member1-m1,effort,continue_y,mech_task_holdout,-2.19,-1.21,0.98,True,False,0,0
cf:contextual_outcome_history:fresh_contexts:effort:bg0:pattern1:outcome_history:continue_x,fresh_contexts:effort:bg0:pattern1:outcome_history,contextual_outcome_history,heldout_broad_history,primary,fresh_contexts:effort:bg0:pattern1:outcome_history:member-1-m0,fresh_contexts:effort:bg0:pattern1:outcome_history:member1-m0,effort,continue_x,mech_task_holdout,2.19,-0.1899999999999999,-2.38,True,False,0,1
